Games FFN,LoZ,Sonic,Pokemon,Final Fantasy,Persona,Kingdom Hearts,Fire Emblem,League of Legends,Dragon Age,Minecraft,Dangan Ronpa,Five Nights at Freddy’s,Undertale,Mystic Messenger,Overwatch,Genshin Impact,HI3,HSR,Honkai (Total)
"Apr 29, 99",0,0,15,3,,,,,,,,,,,,,,,
"May 10, 00",188,62,"1,490",578,,,,,,,,,,,,,,,
"Oct 27, 00",706,160,"4,070","2,484",,,,,,,,,,,,,,,
"Apr 13, 01","1,470",328,"4,280","4,492",,,,,,,,,,,,,,,
"Jul 3, 01","2,070",532,"5,313","6,547",9,,,,,,,,,,,,,,
"Sep 10, 01",,,,,,,,,,,,,,,,,,,
"Nov 23, 01","2,398",933,"6,663","9,043",14,,,,,,,,,,,,,,
"Jan 23, 02","2,561","1,122","7,291","10,441",19,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Jun 2, 02","3,050","1,684","8,176",=1106+842+4812+5700+1430,24,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Oct 3, 02","3,485","2,252","8,744","16,115",31,14,,,,,,,,,,,,,
"Dec 7, 02","3,605","2,445","8,856","16,255",29,295,,,,,,,,,,,,,
"Feb 7, 03","3,766","2,665","9,109","17,130",30,698,6,,,,,,,,,,,,
"Apr 1, 03","4,003","2,819","9,360",=1319+1496+6341+7014+1751+95,35,"1,062",13,,,,,,,,,,,,
"Jun 2, 03","4,212","3,142","9,704",=1409+1639+6691+7274+1818+117,38,"1,347",13,,,,,,,,,,,,
"Apr 4, 04","5,749","4,978","10,854",=1697+2453+24+8342+8686+2088+18+261,37,"3,021",251,,,,,,,,,,,,
"Jun 19, 04","6,162","5,308","11,132","25,276",36,"3,408",502,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Oct 12, 04","6,461","4,481","11,340",=1721+2893+89+9085+9094+2052+77+278+44+1070,35,"3,942",618,,,,,,,,,,,,
"Dec 9, 04","6,607","4,574","11,504","26,986",35,"4,206",688,,,,,,,,,,,,
"Jan 2, 05","6,649","4,648","11,569",=1750+3004+112+9443+9223+2062+84+283+71+1288,35,"4,410",747,,,,,,,,,,,,
"Apr 1, 05","6,927","4,979","11,696",=1745+3158+149+9900+9404+2119+100+289+80+1472,34,"5,167",878,,,,,,,,,,,,
"Oct 13, 06","8,835","7,776","13,907",=1821+2467+15038+10664+4048+2398+309+7+191+349+188+92,44,"15,708","2,321",,,,,,,,,,,,
"Jun 30, 07","10,102","8,911","15,862",=113+1922+2531+18081+11035+4389+2707+356+732+212+373+224,66,"23,679","2,744",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Feb 24, 09","13,329","13,806","23,553",=173+2149+2715+8+21+25642+11509+4962+3268+404+1947+11+284+418+284,105,"40,879","4,315",,,,,,,,,,,,
"Oct 27, 09","14,726","16,094","27,818",=190+1+2280+2808+21+123+28811+11750+5150+387+409+2198+86+310++439+286,454,"46,811","5,011",0,2,0,,,,,,,,,
,,,"30,401",=1+2364+2866+29+247+30580+11886+5211+3434+414+2278+265+327+446+285,,,,,,,,,,,,,,,
"Mar 29, 10","15,520","17,550","30,401",=1+2364+2866+29+247+30580+11886+5211+3434+414+2278+265+327+446+285,720,"51,106","5,342",0,"1,462",0,0,,,,,,,,
"Jun 11, 10","15,883","18,209","32,141","62,034",838,"53,001","5,470",1,"2,084",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Dec 22, 10","16,890","20,101","37,027","65,123","1,395","57,826","5,873",11,"3,420",12,0,,,,,,,,
"Jun 23, 11","17,944","21,724","42,101","67,883","1,884","61,714","6,335",42,"5,761",100,0,,,,,,,,
"Aug 9, 11","18,225","22,134","43,442",=15+2560+3018+41+541+35225+12246+5400+3543+430+2543+1818+6+6+382+466+287+2,"2,014","62,699","6,422",48,"6,395",136,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Oct 11, 11","18,615","22,780","45,090",=49+2612+3016+41+547+36684+12265+5418+3562+431+2571+1914+19+6+392+469+294+4,"2,193","63,839","6,524",79,"7,142",200,0,,,,,,,,
"Jan 11, 12","19,356","23,886","47,230",=87+2658+3028+44+551+36198+12295+5450+3570+431+2607+2094+46+6+394+473+297+4,"2,370","64,825","6,651",134,"8,160",292,0,,,,,,,,
"May 5, 12","20,444","25,306","50,053",=108+2730+3051+48+556+36747+12342+5463+3555+429+2657+2364+266+8+412+478+292+3,"2,652","66,052","6,868",218,"9,219",476,,,,,,,,,
"May 16, 12","20,518","25,471","50,346",=110+2736+3050+48+557+36784+12338+5464+3558+427+2657+2379+285+9+415+479+292+3,"2,667","66,146","6,879",226,"9,293",489,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Jan 13, 13","22,418","27,841","57,345","73,434","3,374","68,233","7,232",581,"10,557","1,227",7,,,,,,,,
"Apr 4, 13","23,062","28,673","59,947","73,978","3,704","68,813","7,464",744,"11,096","1,713",29,,,,,,,,
"Jun 12, 13","23,561","29,557","62,017","75,442","3,866","69,253","7,849",962,"11,451","2,212",86,,,,,,,,
"Oct 10, 13","24,400","30,700","65,400","75,927","4,200","70,200","8,500","1,400","12,100","3,200",509,,,,,,,,
"Nov 28, 13","24,500","31,200","67,100","76,055","4,300","70,400","8,600","1,600","12,200","3,600",645,,,,,,,,
"Jan 22, 14","25,000","31,700","68,800","76,401","4,400","70,800","8,800","1,800","12,500","4,100",810,0,,,,,,,
"Apr 7, 14","25,400","32,400","71,100","76,906","4,500","71,000","9,100","2,100","12,800","4,600","1,100",0,,,,,,,
"Jul 3, 14","25,800","33,000","73,000","77,068","4,700","71,400","9,400","2,400","13,100","5,100","1,200",0,,,,,,,
