Games AO3,LoZ,Sonic,Pokemon,Final Fantasy,Kingdom Hearts,Persona,Fire Emblem,League of Legends,Dragon Age,Minecraft,Dangan Ronpa,Five Nights at Freddy’s,Undertale,Mystic Messenger,Overwatch,Genshin Impact,HI3,HSR,Honkai (Total)
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Dec 21, 09",3,0,0,427,96,33,5,0,3,0,0,,,,,,,,
"Mar 29, 10",7,2,26,"1,012",206,=1+21+35,6,0,82,0,0,,,,,,,,
"Jun 13, 10",10,4,67,"1,327",255,86,10,0,177,0,0,,,,,,,,
"Sep 22, 10",10,7,,"1,716",339,106,15,0,290,0,0,,,,,,,,
"Oct 25, 10",17,7,,"1,912",361,112,16,0,302,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sep 24, 11",=24+1+3+27+2+9,20,230,"3,237",710,527,84,0,"1,418",3,0,,,,,,,,
"Oct 28, 11",=24+1+3+28+2+9,20,241,"3,343",724,531,85,0,"1,643",4,0,,,,,,,,
"Jan 28, 12",=91,23,339,"3,720",857,578,103,0,"2,391",5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"May 21, 12",159,37,438,"4,043","1,059",712,170,1,"3,284",5,1,,,,,,,,
"Jun 1, 12",171,40,456,"4,110","1,078",714,182,2,"3,358",5,1,,,,,,,,
"Jul 30, 12",189,54,459,"4,346","1,203",741,202,3,"3,888",7,3,,,,,,,,
"Oct 23, 12",219,61,668,"4,645","1,387",820,221,7,"4,369",11,8,,,,,,,,
"Jan 6, 13",302,66,799,"5,060","1,546",942,249,15,"4,625",18,22,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Jun 23, 13",452,113,"1,110","5,785","2,008","1,188",359,34,"7,164",53,315,,,,,,,,
"Oct 9, 13",545,139,"1,333","6,179","2,298","1,303",432,44,"7,814",113,=108+801,,,,,,,,
"Dec 16, 13",578,170,"1,526","6,340","2,428","1,371",535,55,"8,105",159,=218+1019,,,,,,,,
