Cartoon FFN,MLP,Voltron,VLD,Daria,PPG,Invader Zim,Kim Possible,Teen Titans,Danny Phantom,AtLA,LoK,AtLA / LoK,Total Drama,Gravity Falls,SU,MLB,SVFoE,SPoP
=$'Dates Ref'.M2,,,,39,,,,,,,,,,,,,,
=$'Dates Ref'.M3,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M4,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M5,33,32,,478,205,0,,,,,,,,,,,,
=$'Dates Ref'.M6,33,40,,527,337,155,,,,,,,,,,,,
=$'Dates Ref'.M7,40,54,,588,432,454,,,,,,,,,,,,
=$'Dates Ref'.M8,48,57,,601,504,957,,,,,,,,,,,,
=$'Dates Ref'.M9,52,76,,645,506,"1,491",,,,,,,,,,,,
=$'Dates Ref'.M10,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M11,62,119,,686,629,"2,141",,,,,,,,,,,,
=$'Dates Ref'.M12,67,125,,708,701,"2,365",,,,,,,,,,,,
=$'Dates Ref'.M13,82,144,,719,815,"2,510",81,,,,,,,,,,,
=$'Dates Ref'.M14,85,140,,746,863,"2,622",122,0,,,,,,,,,,
=$'Dates Ref'.M15,92,151,,777,936,"2,688",150,0,,,,,,,,,,
=$'Dates Ref'.M16,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M17,105,163,,828,"1,067","2,838",214,0,,,,,,,,,,
=$'Dates Ref'.M18,159,199,,981,"1,210","3,054",632,"1,390",,,,,,,,,,
=$'Dates Ref'.M19,163,214,,985,"1,225","3,153",773,"2,138",128,,,,,,,,,
=$'Dates Ref'.M20,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M21,174,214,,930,831,"3,136",898,"4,162",375,,,,,,,,,
=$'Dates Ref'.M22,195,233,,916,824,"3,165","1,010","5,762",577,,,,,,,,,
=$'Dates Ref'.M23,212,235,,919,838,"3,220","1,049","6,357",653,,,,,,,,,
=$'Dates Ref'.M24,227,248,,924,835,"3,331","1,230","8,590",867,124,=M:M-K:K,124,,,,,,
=$'Dates Ref'.M25,225,282,,958,982,"4,255","3,207","18,540","4,985","5,014",=M:M-K:K,"5,014",,,,,,
=$'Dates Ref'.M26,215,298,,987,"1,125","4,747","4,117","20,576","6,628","9,083",=M:M-K:K,"9,083",,,,,,
=$'Dates Ref'.M27,218,302,,"1,013","1,222","4,940","4,547","21,038","7,258","10,358",=M:M-K:K,"10,358",,,,,,
=$'Dates Ref'.M28,246,356,,"1,141","1,649","5,635","6,001","22,830","8,927","19,027",=M:M-K:K,"19,027","1,742",,,,,
=$'Dates Ref'.M29,248,412,,"1,215","2,012","6,038","6,522","24,396","9,528","21,370",=M:M-K:K,"21,370","3,109",,,,,
=$'Dates Ref'.M30,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M31,258,438,,"1,271","2,338","6,289","6,784","25,608","9,884","22,557",=M:M-K:K,"22,557","3,874",,,,,
=$'Dates Ref'.M32,258,447,,"1,289","2,478","6,588","6,893","26,233","10,237","23,283",=M:M-K:K,"23,283","4,262",,,,,
=$'Dates Ref'.M33,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M34,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M35,285,476,,"1,393","2,834","7,622","7,212","27,518","11,008","27,196",=M:M-K:K,"27,196","6,377",,,,,
=$'Dates Ref'.M36,730,499,,"1,474","3,202","8,364","7,503","28,584","11,879","29,184",=M:M-K:K,"29,184","7,421",,,,,
=$'Dates Ref'.M37,"1,162",515,,"1,494","3,376","8,607","7,564","28,873","12,219","29,887",=M:M-K:K,"29,887","7,657",,,,,
=$'Dates Ref'.M38,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M39,"1,959",548,,"1,524","3,517","8,788","7,878","29,267","12,620","30,410",=M:M-K:K,"30,410","7,791",,,,,
=$'Dates Ref'.M40,"3,635",591,,"1,536","3,782","9,110","7,811","29,863","13,070","30,907",=M:M-K:K,"30,907","7,994",,,,,
=$'Dates Ref'.M41,"6,077",670,,"1,573","4,134","9,505","7,857","30,622","13,777","31,974",=M:M-K:K,"32,771","8,479",,,,,
=$'Dates Ref'.M42,"6,387",684,,"1,578","4,168","9,568","7,875","30,728","13,827","32,135",=M:M-K:K,"33,548","8,489",,,,,
=$'Dates Ref'.M43,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M44,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M45,,,,,,,,,,,,,,,,,,
=$'Dates Ref'.M46,"11,233",747,,"1,653","5,043","10,128","8,206","32,833","15,083","35,012",=M:M-K:K,"41,644","9,103",493,,,,
=$'Dates Ref'.M47,"12,862",767,,"1,696","5,340","10,211","8,309","33,396","15,556","35,828",=M:M-K:K,"42,906","9,386",655,,,,
=$'Dates Ref'.M48,"14,230",771,,"1,772","5,613","10,319","8,434","34,113","16,024","36,344",=M:M-K:K,"43,726","9,593",830,0,,,
