WBM Date,Star Wars,Avengers,Thor,Captain America,Guardians of the Galaxy,MCU
,,,,,,"=SUM($'tv ffn'.S2:$'tv ffn'.V2, C2:F2)"
,,,,,,"=SUM($'tv ffn'.S3:$'tv ffn'.V3, C3:F3)"
,,,,,,"=SUM($'tv ffn'.S4:$'tv ffn'.V4, C4:F4)"
,,,,,,"=SUM($'tv ffn'.S5:$'tv ffn'.V5, C5:F5)"
,,,,,,"=SUM($'tv ffn'.S6:$'tv ffn'.V6, C6:F6)"
,,,,,,"=SUM($'tv ffn'.S7:$'tv ffn'.V7, C7:F7)"
,,,,,,"=SUM($'tv ffn'.S8:$'tv ffn'.V8, C8:F8)"
,,,,,,"=SUM($'tv ffn'.S9:$'tv ffn'.V9, C9:F9)"
,,,,,,"=SUM($'tv ffn'.S10:$'tv ffn'.V10, C10:F10)"
,,,,,,"=SUM($'tv ffn'.S11:$'tv ffn'.V11, C11:F11)"
,,,,,,"=SUM($'tv ffn'.S12:$'tv ffn'.V12, C12:F12)"
,,,,,,"=SUM($'tv ffn'.S13:$'tv ffn'.V13, C13:F13)"
,,,,,,"=SUM($'tv ffn'.S14:$'tv ffn'.V14, C14:F14)"
,,,,,,"=SUM($'tv ffn'.S15:$'tv ffn'.V15, C15:F15)"
,,,,,,"=SUM($'tv ffn'.S16:$'tv ffn'.V16, C16:F16)"
,,,,,,"=SUM($'tv ffn'.S17:$'tv ffn'.V17, C17:F17)"
,,,,,,"=SUM($'tv ffn'.S18:$'tv ffn'.V18, C18:F18)"
,,,,,,"=SUM($'tv ffn'.S19:$'tv ffn'.V19, C19:F19)"
,,,,,,"=SUM($'tv ffn'.S20:$'tv ffn'.V20, C20:F20)"
,,,,,,"=SUM($'tv ffn'.S21:$'tv ffn'.V21, C21:F21)"
,,,,,,"=SUM($'tv ffn'.S22:$'tv ffn'.V22, C22:F22)"
,,,,,,"=SUM($'tv ffn'.S23:$'tv ffn'.V23, C23:F23)"
,,,,,,"=SUM($'tv ffn'.S24:$'tv ffn'.V24, C24:F24)"
,,,,,,"=SUM($'tv ffn'.S25:$'tv ffn'.V25, C25:F25)"
,,,,,,"=SUM($'tv ffn'.S26:$'tv ffn'.V26, C26:F26)"
,,,,,,"=SUM($'tv ffn'.S27:$'tv ffn'.V27, C27:F27)"
,,,,,,"=SUM($'tv ffn'.S28:$'tv ffn'.V28, C28:F28)"
,,,,,,"=SUM($'tv ffn'.S29:$'tv ffn'.V29, C29:F29)"
,,,,,,"=SUM($'tv ffn'.S30:$'tv ffn'.V30, C30:F30)"
,,,,,,"=SUM($'tv ffn'.S31:$'tv ffn'.V31, C31:F31)"
,,,,,,"=SUM($'tv ffn'.S32:$'tv ffn'.V32, C32:F32)"
,,,,,,"=SUM($'tv ffn'.S33:$'tv ffn'.V33, C33:F33)"
,,,,,,"=SUM($'tv ffn'.S34:$'tv ffn'.V34, C34:F34)"
,,,,,,"=SUM($'tv ffn'.S35:$'tv ffn'.V35, C35:F35)"
,,,,,,"=SUM($'tv ffn'.S36:$'tv ffn'.V36, C36:F36)"
,,,,,,"=SUM($'tv ffn'.S37:$'tv ffn'.V37, C37:F37)"
,,,,,,"=SUM($'tv ffn'.S38:$'tv ffn'.V38, C38:F38)"
,,,,,,"=SUM($'tv ffn'.S39:$'tv ffn'.V39, C39:F39)"
,,,,,,"=SUM($'tv ffn'.S40:$'tv ffn'.V40, C40:F40)"
,,,,,,"=SUM($'tv ffn'.S41:$'tv ffn'.V41, C41:F41)"
,,,,,,"=SUM($'tv ffn'.S42:$'tv ffn'.V42, C42:F42)"
,,,,,,"=SUM($'tv ffn'.S43:$'tv ffn'.V43, C43:F43)"
,,,,,,"=SUM($'tv ffn'.S44:$'tv ffn'.V44, C44:F44)"
,,,,,,"=SUM($'tv ffn'.S45:$'tv ffn'.V45, C45:F45)"
,,,,,,"=SUM($'tv ffn'.S46:$'tv ffn'.V46, C46:F46)"
,,,,,,"=SUM($'tv ffn'.S47:$'tv ffn'.V47, C47:F47)"
,,,,,,"=SUM($'tv ffn'.S48:$'tv ffn'.V48, C48:F48)"
,,,,,,"=SUM($'tv ffn'.S49:$'tv ffn'.V49, C49:F49)"
,,,,,,"=SUM($'tv ffn'.S50:$'tv ffn'.V50, C50:F50)"
,,,,,,"=SUM($'tv ffn'.S51:$'tv ffn'.V51, C51:F51)"
,,,,,,"=SUM($'tv ffn'.S52:$'tv ffn'.V52, C52:F52)"
,,,,,,"=SUM($'tv ffn'.S53:$'tv ffn'.V53, C53:F53)"
,,,,,,"=SUM($'tv ffn'.S54:$'tv ffn'.V54, C54:F54)"
,,,,,,"=SUM($'tv ffn'.S55:$'tv ffn'.V55, C55:F55)"
,,,,,,"=SUM($'tv ffn'.S56:$'tv ffn'.V56, C56:F56)"
,,,,,,"=SUM($'tv ffn'.S57:$'tv ffn'.V57, C57:F57)"
,,,,,,"=SUM($'tv ffn'.S58:$'tv ffn'.V58, C58:F58)"
,,,,,,"=SUM($'tv ffn'.S59:$'tv ffn'.V59, C59:F59)"
,,,,,,"=SUM($'tv ffn'.S60:$'tv ffn'.V60, C60:F60)"
,,,,,,"=SUM($'tv ffn'.S61:$'tv ffn'.V61, C61:F61)"
,,,,,,"=SUM($'tv ffn'.S62:$'tv ffn'.V62, C62:F62)"
,,,,,,"=SUM($'tv ffn'.S63:$'tv ffn'.V63, C63:F63)"
,,,,,,"=SUM($'tv ffn'.S64:$'tv ffn'.V64, C64:F64)"
,,,,,,"=SUM($'tv ffn'.S65:$'tv ffn'.V65, C65:F65)"
,,,,,,"=SUM($'tv ffn'.S66:$'tv ffn'.V66, C66:F66)"
,,,,,,"=SUM($'tv ffn'.S67:$'tv ffn'.V67, C67:F67)"
,,,,,,"=SUM($'tv ffn'.S68:$'tv ffn'.V68, C68:F68)"
,,,,,,"=SUM($'tv ffn'.S69:$'tv ffn'.V69, C69:F69)"
,,,,,,"=SUM($'tv ffn'.S70:$'tv ffn'.V70, C70:F70)"
,,,,,,"=SUM($'tv ffn'.S71:$'tv ffn'.V71, C71:F71)"
,,,,,,"=SUM($'tv ffn'.S72:$'tv ffn'.V72, C72:F72)"
,,,,,,"=SUM($'tv ffn'.S73:$'tv ffn'.V73, C73:F73)"
,,,,,,"=SUM($'tv ffn'.S74:$'tv ffn'.V74, C74:F74)"
,,,,,,"=SUM($'tv ffn'.S75:$'tv ffn'.V75, C75:F75)"
,,,,,,"=SUM($'tv ffn'.S76:$'tv ffn'.V76, C76:F76)"
,,,,,,"=SUM($'tv ffn'.S77:$'tv ffn'.V77, C77:F77)"
,,,,,,"=SUM($'tv ffn'.S78:$'tv ffn'.V78, C78:F78)"
,,,,,,"=SUM($'tv ffn'.S79:$'tv ffn'.V79, C79:F79)"
,,,,,,"=SUM($'tv ffn'.S80:$'tv ffn'.V80, C80:F80)"
,,,,,,"=SUM($'tv ffn'.S81:$'tv ffn'.V81, C81:F81)"
,,,,,,"=SUM($'tv ffn'.S82:$'tv ffn'.V82, C82:F82)"
,,,,,,"=SUM($'tv ffn'.S83:$'tv ffn'.V83, C83:F83)"
,,,,,,"=SUM($'tv ffn'.S84:$'tv ffn'.V84, C84:F84)"
,,,,,,"=SUM($'tv ffn'.S85:$'tv ffn'.V85, C85:F85)"
,,,,,,"=SUM($'tv ffn'.S86:$'tv ffn'.V86, C86:F86)"
,,,,,,"=SUM($'tv ffn'.S87:$'tv ffn'.V87, C87:F87)"
,,,,,,"=SUM($'tv ffn'.S88:$'tv ffn'.V88, C88:F88)"
,,,,,,"=SUM($'tv ffn'.S89:$'tv ffn'.V89, C89:F89)"
,,,,,,"=SUM($'tv ffn'.S90:$'tv ffn'.V90, C90:F90)"
,,,,,,"=SUM($'tv ffn'.S91:$'tv ffn'.V91, C91:F91)"
,,,,,,"=SUM($'tv ffn'.S92:$'tv ffn'.V92, C92:F92)"
,,,,,,"=SUM($'tv ffn'.S93:$'tv ffn'.V93, C93:F93)"
"Jun 30, 23",=25*2165+3,=25*1978+22,=25*428+18,=25*274+9,=25*72+21,"=SUM($'tv ffn'.S94:$'tv ffn'.V94, C94:F94)"
