Standard Approx Date,WBM,Homestuck,WBM,Hamilton
=$'Dates Ref'.A2,,,,
=$'Dates Ref'.A3,,,,
=$'Dates Ref'.A4,,,,
=$'Dates Ref'.A5,,,,
=$'Dates Ref'.A6,,,,
=$'Dates Ref'.A7,,,,
=$'Dates Ref'.A8,,,,
=$'Dates Ref'.A9,,,,
=$'Dates Ref'.A10,,,,
=$'Dates Ref'.A11,,,,
=$'Dates Ref'.A12,,,,
=$'Dates Ref'.A13,,,,
=$'Dates Ref'.A14,,,,
=$'Dates Ref'.A15,,,,
=$'Dates Ref'.A16,,,,
=$'Dates Ref'.A17,,,,
=$'Dates Ref'.A18,,,,
=$'Dates Ref'.A19,,,,
=$'Dates Ref'.A20,,,,
=$'Dates Ref'.A21,,,,
=$'Dates Ref'.A22,,,,
=$'Dates Ref'.A23,,,,
=$'Dates Ref'.A24,,,,
=$'Dates Ref'.A25,,,,
=$'Dates Ref'.A26,,,,
=$'Dates Ref'.A27,,,,
=$'Dates Ref'.A28,,,,
=$'Dates Ref'.A29,10/27/09,0,,
=$'Dates Ref'.A30,,,,
=$'Dates Ref'.A31,03/28/10,0,,
=$'Dates Ref'.A32,,,,
=$'Dates Ref'.A33,,,,
=$'Dates Ref'.A34,,,,
=$'Dates Ref'.A35,,,,
=$'Dates Ref'.A36,06/23/11,173,,
=$'Dates Ref'.A37,08/12/11,332,,
=$'Dates Ref'.A38,,,,
=$'Dates Ref'.A39,10/11/11,586,,
=$'Dates Ref'.A40,,,,
=$'Dates Ref'.A41,05/05/12,"2,808",,
=$'Dates Ref'.A42,07/17/12,"3,585",,
=$'Dates Ref'.A43,,,,
=$'Dates Ref'.A44,,,,
=$'Dates Ref'.A45,,,,
=$'Dates Ref'.A46,01/03/13,"6,313",,
=$'Dates Ref'.A47,04/04/13,"7,834",,
=$'Dates Ref'.A48,,,,
=$'Dates Ref'.A49,10/10/13,"11,200",,
=$'Dates Ref'.A50,11/28/13,"11,900",,
=$'Dates Ref'.A51,01/22/14,"12,600",,
=$'Dates Ref'.A52,04/07/14,"13,500",,
=$'Dates Ref'.A53,07/03/14,"14,200",,
=$'Dates Ref'.A54,10/04/14,"14,800",,
=$'Dates Ref'.A55,01/16/15,"15,400",,
=$'Dates Ref'.A56,05/26/15,"15,900",,
=$'Dates Ref'.A57,06/23/15,"16,000",,
=$'Dates Ref'.A58,08/13/15,"16,200",,
=$'Dates Ref'.A59,10/15/15,"16,300",,
=$'Dates Ref'.A60,01/05/16,"16,500",,
=$'Dates Ref'.A61,04/06/16,"16,500",,
=$'Dates Ref'.A62,07/08/16,"16,700",,
=$'Dates Ref'.A63,09/23/16,"16,800",,
=$'Dates Ref'.A64,01/14/17,"16,900",,
=$'Dates Ref'.A65,04/03/17,"16,900",,
=$'Dates Ref'.A66,07/03/17,"16,800",,
=$'Dates Ref'.A67,10/10/17,"16,900",,
=$'Dates Ref'.A68,01/10/18,"16,900",,
=$'Dates Ref'.A69,04/05/18,"16,800",,
=$'Dates Ref'.A70,07/17/18,"16,800",,
=$'Dates Ref'.A71,09/24/18,"16,800",,
=$'Dates Ref'.A72,11/02/18,"16,800",,
=$'Dates Ref'.A73,01/03/19,"16,800",,
=$'Dates Ref'.A74,03/30/19,"16,800",,
=$'Dates Ref'.A75,07/01/19,"16,700",,
=$'Dates Ref'.A76,10/03/19,"16,700",,
=$'Dates Ref'.A77,01/01/20,"16,600",,
=$'Dates Ref'.A78,04/01/20,"16,600",,
=$'Dates Ref'.A79,07/01/20,"16,500",,
=$'Dates Ref'.A80,10/01/20,"16,500",,
=$'Dates Ref'.A81,01/01/21,"16,500",,
=$'Dates Ref'.A82,04/01/21,"16,400",,
=$'Dates Ref'.A83,07/01/21,"16,400",,
=$'Dates Ref'.A84,10/01/21,"16,400",,
=$'Dates Ref'.A85,01/01/22,"16,300",,
=$'Dates Ref'.A86,03/31/22,"16,300",,
=$'Dates Ref'.A87,07/04/22,"16,300",,
=$'Dates Ref'.A88,08/02/22,"16,300",,
=$'Dates Ref'.A89,09/21/22,"16,300",,
=$'Dates Ref'.A90,10/21/22,"16,300",,
=$'Dates Ref'.A91,01/06/23,"16,300",,
=$'Dates Ref'.A92,03/06/23,"16,300",,
=$'Dates Ref'.A93,04/03/23,=25*643+5,04/03/23,=25*80
=$'Dates Ref'.A94,06/30/23,=25*642+9,06/30/23,=25*80
=$'Dates Ref'.A95,,,,
=$'Dates Ref'.A96,,,,
=$'Dates Ref'.A97,,,,
=$'Dates Ref'.A98,,,,
=$'Dates Ref'.A99,,,,
=$'Dates Ref'.A100,,,,
