TV AO3,SPN,Dr. Who,Sherlock,Star Trek,Glee,OuaT,Buffy,Merlin,Stargate,Teen Wolf,TWD,X-Files,,Total
,,,,,,,,,,,,,,=SUM(B2:M2)
,,,,,,,,,,,,,,=SUM(B3:M3)
,,,,,,,,,,,,,,=SUM(B4:M4)
,,,,,,,,,,,,,,=SUM(B5:M5)
,,,,,,,,,,,,,,=SUM(B6:M6)
,,,,,,,,,,,,,,=SUM(B7:M7)
,,,,,,,,,,,,,,=SUM(B8:M8)
,,,,,,,,,,,,,,=SUM(B9:M9)
,,,,,,,,,,,,,,=SUM(B10:M10)
,,,,,,,,,,,,,,=SUM(B11:M11)
,,,,,,,,,,,,,,=SUM(B12:M12)
,,,,,,,,,,,,,,=SUM(B13:M13)
,,,,,,,,,,,,,,=SUM(B14:M14)
,,,,,,,,,,,,,,=SUM(B15:M15)
,,,,,,,,,,,,,,=SUM(B16:M16)
,,,,,,,,,,,,,,=SUM(B17:M17)
,,,,,,,,,,,,,,=SUM(B18:M18)
,,,,,,,,,,,,,,=SUM(B19:M19)
,,,,,,,,,,,,,,=SUM(B20:M20)
,,,,,,,,,,,,,,=SUM(B21:M21)
,,,,,,,,,,,,,,=SUM(B22:M22)
,,,,,,,,,,,,,,=SUM(B23:M23)
,,,,,,,,,,,,,,=SUM(B24:M24)
,,,,,,,,,,,,,,=SUM(B25:M25)
,,,,,,,,,,,,,,=SUM(B26:M26)
,,,,,,,,,,,,,,=SUM(B27:M27)
,,,,,,,,,,,,,,=SUM(B28:M28)
"Oct 6, 09",315,87,0,=4+32+1+8+12,0,0,287,60,=540+132,,0,210,,=SUM(B29:M29)
"Dec 6, 09",932,650,0,=73+118+69+60+94,16,0,"1,495",307,=659+1578+1,,0,382,,=SUM(B30:M30)
"Mar 27, 10","2,498","1,653",,=179+137+208+273+172,103,0,"3,451",849,=3934+14+2119,,,773,,=SUM(B31:M31)
"Jun 10, 10","3,469","3,234",284,"1,906",180,,"4,271","1,109",=4789+2556+23,,,856,,=SUM(B32:M32)
"Sep 22, 10","4,448","4,156",201,"2,543",315,,"4,936","1,484","9,799",,,953,,=SUM(B33:M33)
"Oct 25, 10","4,852","4,403",323,"2,859",372,0,"5,131","1,580","10,310",0,0,961,,=SUM(B34:M34)
,,,,,,,,,,,,,,=SUM(B53:M53)
,,,,,,,,,,,,,,=SUM(B54:M54)
,,,,,,,,,,,,,,=SUM(B55:M55)
"Sep 23, 11","11,146","8,244","3,374","5,695","2,223",,"7,727","3,334","11,262",58,21,"1,389",,=SUM(B38:M38)
"Oct 14, 11","11,578","8,494","3,656","5,781","2,363",,"7,846","3,443","16,885",75,22,"1,410",,=SUM(B39:M39)
"Jan 7, 12","13,934","9,750","5,420","6,725","3,194",94,"8,580","4,315","18,025",220,135,"1,523",,=SUM(B40:M40)
"May 7, 12","17,993","11,822","11,031","8,003","4,368",477,"9,656","5,619","20,022",678,308,"1,697",,=SUM(B41:M41)
"May 20, 12","18,406","11,991","11,537","8,181","4,485",534,"9,755","5,787","20,283",779,319,"1,713",,=SUM(B42:M42)
"Jun 3, 12","18,883","12,354","12,242","8,321","4,819",624,"9,880","6,024","20,539",882,358,"1,743",,=SUM(B43:M43)
"Jul 20, 12","20,561","13,457","14,616","8,843","5,936",872,"10,352","6,626","21,383","1,916",398,"1,786",,=SUM(B44:M44)
"Oct 24, 12","24,827","15,595","18,611","9,708","7,500","1,513","11,087","7,711","22,689","6,671",517,"1,878",,=SUM(B45:M45)
"Jan 16, 13","30,027","17,933","23,235","10,643","9,437","2,672","11,949","9,294","23,683","11,202",706,"1,996",,=SUM(B46:M46)
,,,,,,,,,,,,,,=SUM(B66:M66)
"Jun 23, 13","42,864","22,495","32,718","13,943","13,624","4,662","13,921","11,683","25,787","13,016","1,193","2,266",,=SUM(B48:M48)
"Oct 9, 13","51,691","25,294","39,106","18,328","15,572","5,857","14,948","13,466","26,951","26,755","1,450","2,483",,=SUM(B49:M49)
"Dec 16, 13","57,238","26,849","42,506","20,052","16,706","6,893","15,429","14,309","27,485","29,912","1,726","2,611",,=SUM(B50:M50)
"Jan 22, 14","60,123","28,173","46,003","21,060","17,324","7,654","15,697","14,961","28,037","32,109","1,887","2,663",,=SUM(B51:M51)
"Apr 4, 14","66,292","30,511","51,785","22,895","18,514","8,874","16,566","16,087","29,168","37,663","2,305","2,736",,=SUM(B52:M52)
"Jul 5, 14","74,814","32,364","57,386","24,610","20,054","10,914","17,496","17,301","30,598","43,284","3,087","2,859",,=SUM(B53:M53)
"Oct 4, 14","82,809","34,615","62,505","26,058","21,479","12,577","18,231","18,625","32,176","49,268","3,585","3,012",,=SUM(B54:M54)
"Jan 21, 15","92,639","37,134","67,282","27,625","22,936","15,004","18,968","19,775","33,205","54,688","4,733","3,232",,=SUM(B55:M55)
"May 13, 15","101,884","38,855","70,882","29,130","24,457","17,357","19,236","20,563","33,027","58,186","5,775","3,528",,=SUM(B56:M56)
"Jun 23, 15","105,598","39,657","72,397","29,618","24,939","18,438","19,436","21,070","33,167","59,691","6,100","3,611",,=SUM(B57:M57)
"Aug 13, 15","109,714","40,806","74,393","30,313","26,007","19,848","20,184","21,727","33,646","62,583","6,512","3,837",,=SUM(B58:M58)
"Oct 15, 15","115,005","42,249","76,163","30,904","26,601","21,230","20,760","22,754","34,116","65,340","7,068","4,199",,=SUM(B59:M59)
"Jan 7, 16","122,123","44,634","79,103","31,993","27,575","23,322","21,386","23,682","34,848","68,969","7,979","4,749",,=SUM(B60:M60)
"Apr 6, 16","129,909","46,776","82,355","33,074","28,283","25,447","21,903","24,473","35,789","72,534","9,126","5,379",,=SUM(B61:M61)
"Jul 8, 16","137,063","48,594","84,751","34,221","28,894","27,402","22,542","25,112","36,578","74,891","9,971","5,795",,=SUM(B62:M62)
"Sep 24, 16","142,935","50,159","86,735","36,581","29,323","28,804","23,049","25,778","37,202","76,881","10,509","6,059",,=SUM(B63:M63)
