Animanga AO3,Sailor Moon,Inuyasha,CCS,Bleach,Tennis,Naruto,Fruba,FMA,Soul Eater,Fairy Tail,Hetalia,Exorcist,Madoka,JJBA,SnK,HQ,BnHA,YoI,SxF,,Totals
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,=SUM(B22:U22)
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,=SUM(B24:U24)
,,,,,,,,,,,,,,,,,,,,,=SUM(B25:U25)
,,,,,,,,,,,,,,,,,,,,,=SUM(B26:U26)
,,,,,,,,,,,,,,,,,,,,,=SUM(B27:U27)
,,,,,,,,,,,,,,,,,,,,,=SUM(B28:U28)
,,,,,,,,,,,,,,,,,,,,,=SUM(B29:U29)
"Dec 19, 09",23,,8,,206,109,26,119,23,0,13,0,,,,,,,,,=SUM(B30:U30)
"Mar 29, 10",78,,33,,522,265,43,364,42,4,108,0,,,,,,,,,=SUM(B31:U31)
"Jun 13, 10",99,,38,,540,335,48,504,45,4,123,,,,,,,,,,=SUM(B32:U32)
"Sep 22, 10",129,,47,,603,542,61,687,45,5,206,0,,,,,,,,,=SUM(B33:U33)
"Oct 25, 10",134,,52,,610,592,60,736,44,5,217,0,,,,,,,,,=SUM(B34:U34)
"Dec 4, 10",138,,52,,654,629,62,827,45,7,220,0,,,,,,,,,=SUM(B35:U35)
,,,,,,,,,,,,,,,,,,,,,=SUM(B36:U36)
"Aug 14, 11",284,,85,,"1,070","1,403",86,"1,420",122,8,615,11,21,,,,,,,,=SUM(B37:U37)
"Sep 24, 11",298,,97,,"1,196","1,496",90,"1,497",125,8,688,16,33,,,,,,,,=SUM(B38:U38)
"Nov 17, 11",299,,97,,"1,237","1,574",91,"1,597",113,9,810,24,70,,,,,,,,=SUM(B39:U39)
"Jan 18, 12",345,,119,,"1,330","1,767",102,"1,794",127,20,974,34,84,,,,,,,,=SUM(B40:U40)
"Apr 26, 12",488,,138,,"1,497","2,105",112,"2,170",147,31,"1,276",49,107,,,,,,,,=SUM(B41:U41)
"May 18, 12",503,,144,,"1,509","2,150",120,"2,272",163,32,"1,383",50,111,,,,,,,,=SUM(B42:U42)
"Jun 4, 12",522,,146,,"1,557","2,208",126,"2,323",164,35,"1,567",53,118,,,,,,,,=SUM(B43:U43)
