Standard Approx Date;Animanga AO3;Animanga FFN;(Notes);TV AO3;;TV FFN;(Notes);Games AO3;(Notes);Games FFN;(Notes);Cartoon FFN;(Link);Cartoon AO3;(Link);Chatfics;AsianFanfics;(Links);K-Pop AO3;Bandom FFN;;Books FFN;(Links);Books AO3;Other Refs
Apr 29, 99;;Apr 29, 99;;;;Apr 29, 99;http://www.fanfiction.net/;;;Apr 29, 99;;Apr 29, 99;;;;;;;;;;;;;=B82+(A83-A82)*(D$88/30.4375)
May 10, 00;;May 10, 00;;;;May 11, 00;‘/master.cfm?action=story-categories&categoryID=208;;;May 10, 00;‘/master.cfm?action=story-categories&categoryID=209;;;;;;;;;May 10, 00;master.cfm?action=story-categories&categoryID=210;May 10, 00;master.cfm?action=story-categories&categoryID=202;;
Oct 13, 00;;Oct 29, 00;;;;Oct 13, 00;;;;Oct 27, 00;;;;;;;;;;Oct 26, 00;;;;;
Apr 13, 01;;Apr 11, 01;'/sections/anime/index.fic?action=story-categories&categoryID=201;;;Apr 13, 01;‘/sections/tvshows/index.fic?action=story-categories&categoryID=208;;;Apr 13, 01;'/sections/games/index.fic?action=story-categories&categoryID=209;Apr 17, 01;http://fanfiction.net/sections/cartoons/index.fic?action=story-categories&CategoryID=203;;;;;;;Apr 13, 01;;Jun 4, 01;sections/books/index.fic?action=story-categories&categoryID=202;;
Jul 1, 01;;Jul 3, 01;;;;Jul 11, 01;;;;Jul 3, 01;;Jun 20, 01;;;;;;;;;;;;;
Sep 10, 01;;Sep 8, 01;Anime.html;;;Sep 10, 01;‘/TVShows.html;;;Sep 10, 01;'/Games.html;Sep 8, 01;;;;;;;;;;Sep 10, 01;books.html;;
Dec 5, 01;;Dec 12, 01;;;;Dec 12, 01;‘/subcats.php?categoryid=208;;;Nov 23, 01;'/subcats.php?categoryid=209;Nov 23, 01;http://fanfiction.net/subcats.php?categoryid=203;;;;;;;Nov 23, 01;;Dec 12, 01;subcats.php?categoryid=202;;
Jan 23, 02;;Jan 25, 02;'/subcats.php?categoryid=201;;;Jan 23, 02;;;;Jan 23, 02;;Feb 6, 02;;;;;;;;Jan 23, 02;;Jan 25, 02;;;
Apr 5, 02;;Apr 5, 02;;;;Apr 5, 02;;;;;;;;;;;;;;;;;;;
Jun 2, 02;;Jun 2, 02;;;;Jun 1, 02;;;;Jun 2, 02;;Jun 1, 02;;;;;;;;Jun 2, 02;subcats.php?categoryid=210;Jun 1, 02;;;
Aug 10, 02;;;;;;Aug 10, 02;;;;;;Aug 10, 02;;;;;;;;;;Aug 10, 02;;;
Oct 10, 02;;;;;;Oct 3, 02;;;;Oct 3, 02;;Oct 17, 02;;;;;;;;;;Oct 17, 02;;;
Dec 7, 02;;Dec 7, 02;;;;Dec 7, 02;;;;Dec 7, 02;;Dec 7, 02;;;;;;;;ELIMINATED;;;;;
Feb 2, 03;;;;;;Feb 10, 03;;;;Feb 7, 03;;Feb 2, 03;;;;;;;;;;Feb 10, 03;;;
Apr 1, 03;;;;;;Apr 1, 03;;;;Apr 1, 03;;;;;;;;;;;;Mar 24, 03;;;
Jun 3, 03;;Jun 3, 03;;;;Jun 2, 03;;;;Jun 2, 03;;Jun 2, 03;;;;;;;;;;Jun 2, 03;;;
Apr 4, 04;;Apr 4, 04;;;;;;;;Apr 4, 04;;Apr 4, 04;;;;;;;;;;Apr 4, 04;;;
Jun 10, 04;;Jun 10, 04;;;;;;;;Jun 19, 04;;Jun 10, 04;;;;;;;;;;Jun 10, 04;;;
Sep 6, 04;;;'/cat/201;;;Sep 6, 04;‘/cat/208/;;;;;;;;;;;;;;;;;;
Oct 12, 04;;Oct 12, 04;;;;Oct 12, 04;;;;Oct 12, 04;'/cat/209/;Oct 1, 04;https://www.fanfiction.net/cat/203/;;;;;;;;;Oct 12, 04;;;
Dec 10, 04;;Dec 11, 04;;;;Dec 11, 04;;;;Dec 9, 04;;Dec 10, 04;;;;;;;;;;Dec 10, 04;;;
Jan 1, 05;;Jan 1, 05;;;;Jan 1, 05;;;;Jan 2, 05;;Jan 4, 05;;;;;;;;;;Jan 5, 05;;;
Apr 1, 05;;Apr 1, 05;;;;Apr 1, 05;;;;Apr 1, 05;;Apr 1, 05;;;;;;;;;;Apr 1, 05;;;
Oct 15, 06;;Oct 13, 06;;;;Oct 16, 06;;;;Oct 13, 06;;Oct 13, 06;;;;;;;;;;Oct 13, 06;;;
Jun 30, 07;;Jun 30, 07;'/anime/;;;Jun 30, 07;‘/tv/;;;Jun 30, 07;‘/game/;Jun 30, 07;'/cartoon/;;;;;;;;;Jun 30, 07;;;
Oct 11, 07;;Oct 11, 07;;;;Sep 29, 07;;;;;;Oct 11, 07;;;;;;;;;;Oct 11, 07;;;
Feb 24, 09;;Feb 24, 09;;;;Feb 24, 09;;;;Feb 24, 09;;Feb 24, 09;;;;;;;;;;Feb 24, 09;;;
Oct 15, 09;;Oct 27, 09;http://archiveofourown.org/media/Anime & Manga/fandoms;Oct 6, 09;*will vary with letter;Oct 27, 09;http://archiveofourown.org/media;;http://archiveofourown.org/media/Video%20Games;Oct 27, 09;;Oct 27, 09;;Oct 5, 09;http://archiveofourown.org/media/Cartoons%20&%20Comics;;;;;;;Oct 7, 09;;Sep 25, 09;
Dec 12, 09;Dec 19, 09;;;Dec 6, 09;http://archiveofourown.org/media/TV Shows?letter=S&page=1;;;Dec 21, 09;http://archiveofourown.org/media/Video%20Games/fandoms;;;;;;* a lot of cartoon captures are from 4 jul 2009, consider that instead;;;;Dec 23, 09;;http://archiveofourown.org/media/Music %26 Bands/fandoms;;;Dec 3, 09;
Mar 28, 10;Mar 29, 10;Mar 29, 10;;Mar 27, 10;;Mar 27, 10;http://archiveofourown.org/media/TV Shows/fandoms;Mar 29, 10;;Mar 29, 10;;Mar 26, 10;;Mar 29, 10;http://archiveofourown.org/media/Cartoons & Comics & Graphic Novels/fandoms;;;;Apr 7, 10;;;Mar 28, 10;;Apr 10, 10;
Jun 11, 10;Jun 13, 10;Jun 12, 10;;Jun 10, 10;;Jun 12, 10;;Jun 13, 10;;Jun 11, 10;;Jun 12, 10;;Jun 13, 10;;;Jul 16, 10;http://web.archive.org/web/20100716001004/http://www.asianfanfics.com/browse/tags;Jun 13, 10;;;Jun 12, 10;;Jun 13, 10;
Sep 22, 10;Sep 22, 10;;http://archiveofourown.org/media/Anime%20&%20Manga/fandoms;Sep 22, 10;;;;Sep 22, 10;;;;;;Sep 22, 10;;;Aug 20, 10;;Sep 22, 10;;;;;Sep 22, 10;
Oct 25, 10;Oct 25, 10;;;Oct 25, 10;;;;Oct 25, 10;;;;;;Oct 25, 10;;;;;Oct 25, 10;;;;;Oct 25, 10;
Dec 10, 10;Dec 4, 10;Dec 22, 10;;;;Dec 22, 10;;;;Dec 22, 10;;Dec 22, 10;;Nov 28, 10;http://archiveofourown.org/media/Cartoons%20%26%20Comics%20%26%20Graphic%20Novels/fandoms;;;;Dec 28, 10;;;Dec 22, 10;;;
Jun 30, 11;;Jun 23, 11;;;;Jun 23, 11;;;;Jun 23, 11;;Jun 23, 11;;Jul 11, 11;;;Apr 27, 11;http://web.archive.org/web/20180215000000*/http://www.asianfanfics.com/browse/pop_tags;;;;Jun 23, 11;;;
Aug 13, 11;Aug 14, 11;Aug 12, 11;;;;Aug 12, 11;;;;Aug 9, 11;;Aug 12, 11;;Aug 14, 11;;;;;;;;Aug 12, 11;;;
Sep 23, 11;Sep 24, 11;;;Sep 23, 11;;;;Sep 24, 11;;;;;;Sep 24, 11;;;Sep 21, 11;;Sep 24, 11;;;;;Sep 24, 11;
Oct 25, 11;Nov 17, 11;Oct 11, 11;;Oct 14, 11;;Oct 11, 11;;Oct 28, 11;;Oct 11, 11;;Oct 11, 11;;Oct 24, 11;http://archiveofourown.org/media/Cartoons%20*a*%20Comics%20*a*%20Graphic%20Novels/fandoms;;;;;;;Oct 18, 11;;Oct 12, 11;
Jan 12, 12;Jan 18, 12;Jan 18, 12;;Jan 7, 12;;Jan 3, 12;;Jan 28, 12;;Jan 11, 12;;Jan 11, 12;;Jan 14, 12;;;Jan 12, 12;;Jan 14, 12;;;Jan 8, 12;;Jan 20, 12;
May 1, 12;Apr 26, 12;May 5, 12;;May 7, 12;;May 7, 12;;;;May 5, 12;;May 8, 12;;;;May 8, 12;May 11, 12;;;;;May 5, 12;;May 7, 12;
May 20, 12;May 18, 12;May 23, 12;;May 20, 12;;May 22, 12;;May 21, 12;;May 16, 12;;May 23, 12;;May 18, 12;;;;;May 19, 12;;;May 20, 12;;May 31, 12;
Jun 4, 12;Jun 4, 12;;;Jun 3, 12;;Jun 8, 12;;Jun 1, 12;;;;;;Jun 6, 12;;;Jun 15, 12;;Jun 14, 12;;;Jun 8, 12;;Jun 14, 12;
Jul 16, 12;Jul 16, 12;;;Jul 20, 12;;;;Jul 30, 12;;;;;;Jul 26, 12;;Jul 8, 12;;;Jul 30, 12;;;Jul 17, 12;;Jul 30, 12;
Oct 23, 12;Oct 22, 12;;;Oct 24, 12;;;;Oct 23, 12;;;;;;Oct 5, 12;;;Oct 15, 12;;Oct 24, 12;;;Oct 23, 12;;Oct 24, 12;
Jan 7, 13;Jan 1, 13;Jan 10, 13;;Jan 16, 13;;Jan 17, 13;;Jan 6, 13;;Jan 13, 13;;Jan 16, 13;;Jan 16, 13;;Jan 15, 13;Jan 11, 13;;Jan 4, 13;;;Jan 12, 13;;Jan 3, 13;
Apr 4, 13;Apr 4, 13;Apr 4, 13;;;;Apr 5, 13;;;;Apr 4, 13;;Apr 4, 13;;;;;;;;;;Apr 4, 13;;;
Jun 25, 13;Jun 23, 13;Jul 3, 13;;Jun 23, 13;;Jun 21, 13;;Jun 23, 13;;Jun 12, 13;;Jun 21, 13;;Jun 22, 13;;Jun 30, 13;Jun 20, 13;;Jun 23, 13;;;;;Jun 23, 13;
Oct 10, 13;Oct 9, 13;Oct 10, 13;;Oct 9, 13;;Oct 10, 13;;Oct 9, 13;;Oct 10, 13;;Oct 9, 13;;Oct 9, 13;;Sep 27, 13;Oct 22, 13;;Oct 9, 13;;;Oct 9, 13;;Oct 9, 13;
Dec 1, 13;Dec 16, 13;Nov 28, 13;;Dec 16, 13;;Dec 15, 13;;Dec 16, 13;;Nov 28, 13;;Nov 28, 13;;Dec 16, 13;;Nov 29, 13;;;Nov 23, 13;;;Nov 28, 13;;;
Jan 22, 14;Jan 22, 14;Jan 22, 14;;Jan 22, 14;;Jan 22, 14;;Jan 22, 14;;Jan 22, 14;;Jan 22, 14;;Jan 22, 14;;Jan 29, 14;Jan 25, 14;;Jan 22, 14;;;Jan 22, 14;;Jan 22, 14;
Apr 4, 14;Apr 4, 14;Apr 7, 14;;Apr 4, 14;;Apr 7, 14;;Apr 4, 14;;Apr 7, 14;;Apr 7, 14;;Apr 4, 14;;Apr 1, 14;;;Apr 4, 14;;;Apr 7, 14;;Apr 4, 14;
Jul 4, 14;Jul 5, 14;Jul 3, 14;;Jul 5, 14;;Jul 3, 14;;Jul 5, 14;;Jul 3, 14;;Jul 3, 14;;Jul 5, 14;;Jul 12, 14;Jul 3, 14;;Jul 5, 14;;;Jul 3, 14;;Jul 5, 14;
Oct 4, 14;Oct 4, 14;Oct 4, 14;;Oct 4, 14;;Oct 4, 14;;Oct 4, 14;;Oct 4, 14;;Oct 4, 14;;Oct 4, 14;;Oct 9, 14;Oct 5, 14;;Oct 4, 14;;;Oct 4, 14;;Oct 4, 14;
Jan 16, 15;Jan 7, 15;Jan 9, 15;;Jan 21, 15;;Jan 16, 15;;Jan 21, 15;;Jan 16, 15;;Jan 28, 15;;Jan 23, 15;;Jan 5, 15;Jan 11, 15;;Jan 21, 15;;;Jan 16, 15;;Jan 21, 15;
May 20, 15;May 13, 15;May 26, 15;;May 13, 15;;May 26, 15;;May 13, 15;;May 26, 15;;May 26, 15;;May 14, 15;;May 14, 15;;;May 12, 15;;;May 26, 15;;May 13, 15;
Jun 23, 15;Jun 23, 15;Jun 23, 15;;Jun 23, 15;;Jun 23, 15;;Jun 23, 15;;Jun 23, 15;;Jun 27, 15;;Jun 23, 15;;;Jul 9, 15;;Jun 23, 15;;;Jun 23, 15;;Jun 23, 15;
Aug 13, 15;Aug 13, 15;Aug 15, 15;;Aug 13, 15;;Aug 13, 15;;Aug 13, 15;;Aug 13, 15;;Aug 13, 15;;Aug 13, 15;;;;;Aug 13, 15;;;Aug 13, 15;;Aug 13, 15;
Oct 7, 15;Oct 3, 15;Oct 15, 15;;Oct 15, 15;;Oct 15, 15;;Oct 9, 15;;Oct 15, 15;;Oct 15, 15;;Oct 15, 15;;Oct 19, 15;Oct 6, 15;;Oct 2, 15;;;Oct 15, 15;;Oct 8, 15;
Jan 6, 16;Jan 7, 16;Jan 5, 16;;Jan 7, 16;;Jan 5, 16;;Jan 7, 16;;Jan 5, 16;;Jan 5, 16;;Jan 7, 16;;;;;Jan 7, 16;;;Jan 5, 16;;Jan 7, 16;
Apr 6, 16;Apr 6, 16;Apr 6, 16;;Apr 6, 16;;Apr 6, 16;;Apr 6, 16;;Apr 6, 16;;Apr 6, 16;;Apr 6, 16;;Apr 6, 16;Apr 7, 16;;Apr 6, 16;;;Apr 6, 16;;Apr 6, 16;
Jul 6, 16;Jul 4, 16;Jul 8, 16;;Jul 8, 16;;Jul 8, 16;;Jul 5, 16;;Jul 8, 16;;Jul 8, 16;;Jul 5, 16;;Jul 7, 16;Jul 8, 16;;Jul 5, 16;;;Jul 8, 16;;Jul 8, 16;
Sep 27, 16;Oct 1, 16;Sep 23, 16;;Sep 24, 16;;Sep 25, 16;;Sep 27, 16;;Sep 23, 16;;Sep 23, 16;;Sep 28, 16;;Oct 3, 16;Sep 21, 16;;Sep 24, 16;;;Sep 23, 16;;Sep 28, 16;
Jan 7, 17;Jan 2, 17;Jan 14, 17;;Jan 11, 17;;Jan 14, 17;;Jan 9, 17;;Jan 14, 17;;Jan 14, 17;;Jan 9, 17;;Jan 12, 17;;;Jan 9, 17;;;Jan 14, 17;;Jan 9, 17;
Apr 3, 17;Apr 2, 17;Apr 3, 17;;Apr 3, 17;;Apr 3, 17;;Apr 3, 17;;Apr 3, 17;;Apr 3, 17;;Apr 3, 17;;Apr 10, 17;;;Apr 3, 17;;;Apr 3, 17;;Apr 3, 17;
Jul 4, 17;Jul 3, 17;Jul 3, 17;;Jul 5, 17;;Jul 3, 17;;Jul 7, 17;;Jul 3, 17;;Jul 3, 17;;Jul 7, 17;;Jun 27, 17;Jun 22, 17;;Jul 7, 17;;;Jul 3, 17;;Jul 7, 17;
Oct 10, 17;Oct 3, 17;Oct 3, 17;;Oct 10, 17;;Oct 10, 17;;Oct 10, 17;;Oct 10, 17;;Oct 10, 17;;Oct 10, 17;;Oct 1, 17;Oct 10, 17;;Oct 10, 17;;;Oct 10, 17;;Oct 10, 17;
Jan 5, 18;Jan 1, 18;Jan 10, 18;;Jan 10, 18;;Jan 10, 18;;Jan 10, 18;;Jan 10, 18;;Jan 10, 18;;Jan 10, 18;;Jan 3, 18;Dec 29, 17;;Jan 2, 18;;;Jan 10, 18;;Jan 2, 18;
Apr 4, 18;Apr 2, 18;Apr 5, 18;;Apr 2, 18;;Apr 5, 18;;Apr 2, 18;;Apr 5, 18;;Apr 5, 18;;Apr 2, 18;;;;;Apr 2, 18;;;Apr 5, 18;;Apr 2, 18;
Jul 17, 18;Jul 17, 18;Jul 17, 18;;Jul 17, 18;;Jul 17, 18;;Jul 17, 18;;Jul 17, 18;;Jul 17, 18;;Jul 17, 18;;;;;Jul 17, 18;;;Jul 17, 18;;Jul 17, 18;
Sep 30, 18;;Sep 24, 18;;Oct 7, 18;;Sep 24, 18;;Oct 10, 18;;Oct 4, 18;;Sep 24, 18;;;;;Oct 6, 18;;;;;Sep 24, 18;;Oct 9, 18;
Nov 1, 18;Oct 30, 18;Nov 2, 18;;Oct 30, 18;;Nov 2, 18;;Nov 2, 18;;Nov 2, 18;;Nov 2, 18;;Oct 30, 18;;;;;Oct 30, 18;;;Nov 2, 18;;Nov 2, 18;
Jan 4, 19;Jan 5, 19;Jan 3, 19;;Jan 5, 19;;Jan 3, 19;;Jan 5, 19;;Jan 4, 19;;Jan 4, 19;;Jan 5, 19;;;;;Jan 5, 19;;;Jan 3, 19;;Jan 5, 19;
Apr 1, 19;Apr 1, 19;Mar 30, 19;;Apr 4, 19;;Apr 5, 19;;Apr 1, 19;;Apr 5, 19;;Apr 5, 19;;Apr 1, 19;;;Mar 30, 19;;Apr 1, 19;;;Apr 5, 19;;Apr 1, 19;
Jul 1, 19;Jul 1, 19;Jul 1, 19;;Jul 1, 19;;Jul 1, 19;;Jul 1, 19;;Jul 1, 19;;Jul 1, 19;;Jul 1, 19;;;;;Jul 1, 19;;;Jul 1, 19;;Jul 1, 19;
Oct 3, 19;Oct 2, 19;Oct 3, 19;;Oct 3, 19;;Oct 3, 19;;Oct 3, 19;;Oct 3, 19;;Oct 3, 19;;Oct 3, 19;;;Sep 21, 19;;Oct 3, 19;;;Oct 3, 19;;Oct 3, 19;
Jan 1, 20;Jan 1, 20;Jan 1, 20;;Jan 1, 20;;Jan 1, 20;;Jan 1, 20;;Jan 1, 20;;Jan 1, 20;;Jan 1, 20;;;Dec 29, 19;;Jan 1, 20;;;Jan 1, 20;;Jan 1, 20;
