Standard Approx Date;Month;adjust to date;# Archived;;;Methodology
Apr 29, 99;;;;;;
May 10, 00;;;;;;
Oct 13, 00;;;;;;
Apr 13, 01;;;;;;
Jul 1, 01;;;;;;
Sep 10, 01;;;;;;
Dec 5, 01;;;;;;
Jan 23, 02;;;;;;
Apr 5, 02;;;;;;
Jun 2, 02;;;;;;
Aug 10, 02;;;;;;
Oct 10, 02;;;;;;
Dec 7, 02;;;;;;
Feb 2, 03;;;;;;
Apr 1, 03;;;;;;
Jun 3, 03;;;;;;
Apr 4, 04;;;;;;
Jun 10, 04;;;;;;
Sep 6, 04;;;;;;
Oct 12, 04;;;;;;
Dec 10, 04;;;;;;
Jan 1, 05;;;;;;
Apr 1, 05;;;;;;
Oct 15, 06;;;;;;
Jun 30, 07;;;;;;
Oct 11, 07;;;;;;
Feb 24, 09;;;;;;
Oct 15, 09;;;;;;
Dec 12, 09;;;;;;
Mar 28, 10;;;;;;
Jun 11, 10;;;;;;
Sep 22, 10;;;;;;
Oct 25, 10;;;;;;
Dec 10, 10;;;;;;
Jun 30, 11;0;;0;;Numbers added up manually from FimFiction’s Site Statistics Page [https://www.fimfiction.net/statistics]. These numbers will include stories which have since been deleted/unlisted.;
Aug 13, 11;154;214;214;;;
Sep 23, 11;484;454;454;;;
Oct 25, 11;873;770;770;;;
Jan 12, 12;2,234;2,592;2,592;;;
May 1, 12;8,525;8,574;8,574;;;
May 20, 12;10,387;9,689;9,689;;;
Jun 4, 12;10,387;10,667;10,667;;;
Jul 16, 12;14,311;13,284;13,284;;;
Oct 23, 12;20,009;19,506;19,506;;;
Jan 7, 13;23,914;24,394;24,394;;;
Apr 4, 13;29,524;29,780;29,780;;;
Jun 25, 13;34,513;34,227;34,227;;;
Oct 10, 13;40,020;40,635;40,635;;;
Dec 1, 13;43,627;43,686;43,686;;;
Jan 22, 14;47,812;47,207;47,207;;;
Apr 4, 14;51,511;51,748;51,748;;;
Jul 4, 14;56,838;57,039;57,039;;;
Oct 4, 14;61,416;61,602;61,602;;;
Jan 16, 15;65,787;66,490;66,490;;;
May 20, 15;72,639;72,108;72,108;;;
Jun 23, 15;73,962;73,689;73,689;;;
Aug 13, 15;75,307;75,828;75,828;;;
Oct 7, 15;77,819;78,145;78,145;;;
Jan 6, 16;81,594;81,868;81,868;;;
Apr 6, 16;85,122;85,311;85,311;;;
Jul 6, 16;88,375;88,575;88,575;;;
Sep 27, 16;91,505;91,382;91,382;;;
Jan 7, 17;94,515;94,740;94,740;;;
Apr 3, 17;97,375;97,480;97,480;;;
Jul 4, 17;100,008;100,137;100,137;;;
Oct 10, 17;102,571;102,875;102,875;;;
Jan 5, 18;105,461;105,630;105,630;;;
Apr 4, 18;108,007;108,129;108,129;;;
Jul 17, 18;111,154;110,806;110,806;;;
Sep 30, 18;112,631;112,631;112,631;;;
Nov 1, 18;113,439;113,473;113,473;;;
Jan 4, 19;114,972;115,082;115,082;;;
Apr 1, 19;117,172;117,172;117,172;;;
Jul 1, 19;119,434;119,434;119,434;;;
Oct 3, 19;121,589;121,650;121,650;;;
Jan 1, 20;123,924;123,924;123,924;;;
Apr 1, 20;125,972;125,972;125,972;;;
Jul 1, 20;128,286;128,286;128,286;;;
Oct 1, 20;130,344;130,344;130,344;;;
Jan 1, 21;132,466;132,466;132,466;;;
Apr 1, 21;134,336;134,336;134,336;;;
Jul 1, 21;136,150;136,150;136,150;;;
Oct 1, 21;137,920;137,920;137,920;;;
Jan 1, 22;139,866;139,866;139,866;;;
Apr 1, 22;141,414;141,414;141,414;;;
Jul 1, 22;142,891;142,891;142,891;;;
Aug 2, 22;143,334;143,368;143,368;;;
Sep 20, 22;144,388;144,210;144,210;;;
Oct 23, 22;144,999;144,822;144,822;;;
Jan 1, 23;145,998;145,998;145,998;;;
Mar 3, 23;146,978;147,015;147,015;;;
Apr 3, 23;147,512;147,588;147,588;;;
Jun 30, 23;149,118;149,118;149,118;;;
Oct 1, 23;150,807;150,807;150,807;;;
Jan 1, 24;152,569;152,569;152,569;;;
Apr 1, 24;152,565;152,565;152,565;;;
Jun 30, 24;153,582;153,582;153,582;;;
Oct 1, 24;154,838;154,838;154,838;;;
Jan 1, 25;155,807;155,807;155,807;;;
Apr 1, 25;156,902;156,902;156,902;;;
Jul 1, 25;158,045;158,045;158,045;;;
Oct 3, 25;159,011;159,014;159,014;;;
Jan 1, 26;160,010;160,010;160,010;;;
Dec 30, 99;;;0;;;
Dec 30, 99;;;0;;;
Dec 30, 99;;;0;;;
Dec 30, 99;;;0;;;
Dec 30, 99;;;0;;;
Dec 30, 99;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
;;;0;;;
