Animanga AO3;Sailor Moon;Inuyasha;CCS;Bleach;Tennis;Naruto;Fruba;FMA;Soul Eater;Fairy Tail;Hetalia;Exorcist;Madoka;RWBY;JJBA;SnK;HQ;BnHA;YoI;SxF;;Totals
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
Dec 19, 09;23;;8;;206;109;26;119;23;0;13;0;;;;;;;;;;527
Mar 29, 10;78;;33;;522;265;43;364;42;4;108;0;;;;;;;;;;1,459
Jun 13, 10;99;;38;;540;335;48;504;45;4;123;;;;;;;;;;;1,736
Sep 22, 10;129;;47;;603;542;61;687;45;5;206;0;;;;;;;;;;2,325
Oct 25, 10;134;;52;;610;592;60;736;44;5;217;0;;;;;;;;;;2,450
Dec 4, 10;138;;52;;654;629;62;827;45;7;220;0;;;;;;;;;;2,634
;;;;;;;;;;;;;;;;;;;;;;0
Aug 14, 11;284;;85;;1,070;1,403;86;1,420;122;8;615;11;21;;;;;;;;;5,125
Sep 24, 11;298;;97;;1,196;1,496;90;1,497;125;8;688;16;33;;;;;;;;;5,544
Nov 17, 11;299;;97;;1,237;1,574;91;1,597;113;9;810;24;70;;;;;;;;;5,921
Jan 18, 12;345;;119;;1,330;1,767;102;1,794;127;20;974;34;84;;;;;;;;;6,696
Apr 26, 12;488;;138;;1,497;2,105;112;2,170;147;31;1,276;49;107;;;;;;;;;8,120
May 18, 12;503;;144;;1,509;2,150;120;2,272;163;32;1,383;50;111;;;;;;;;;8,437
Jun 4, 12;522;;146;;1,557;2,208;126;2,323;164;35;1,567;53;118;;;;;;;;;8,819
Jul 16, 12;552;;154;;1,620;2,598;147;2,530;182;59;1,915;60;132;;;;;;;;;9,949
Oct 22, 12;617;;170;;1,816;3,137;204;2,847;231;127;2,558;69;158;;;;;;;;;11,934
Jan 1, 13;676;;225;;1,843;3,561;227;3,146;303;154;3,132;81;188;;;;;;;;;13,536
