WBM Date;;BTS;EXO;Shinee;Super Junior;Red Velvet;Twice;BlackPink;NCT;Stray Kids;Seventeen;TXT;GOT7;Monsta X;Loona
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Jul 16, 10;;0;0;443;;0;0;0;0;0;0;0;0;0;0
Aug 20, 10;;0;0;761;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Apr 27, 11;;0;0;7,263;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Sep 21, 11;;0;0;14,078;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Jan 12, 12;;0;0;15,592;;;;;;;;;;;
May 11, 12;;0;3,315;19,094;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Jun 15, 12;;0;7,120;21,033;;;;;;;;;0;;
Dec 30, 99;;;;;;;;;;;;;;;
Oct 15, 12;;0;18,635;24,051;;;;;;;;;;;
Jan 11, 13;;0;29,033;26,566;;;;;;;;;0;;
Dec 30, 99;;;;;;;;;;;;;;;
Jun 20, 13;;0;53,264;32,986;;;;;;;;;0;;
Oct 22, 13;;1,045;81,863;36,789;;;;;;;;;0;;
Dec 30, 99;;;;;;;;;;;;;;;
Jan 25, 14;;;105,815;39,257;;0;;;;;;;0;;
Dec 30, 99;;;;;;;;;;;;;;;
Jul 3, 14;;5,230;98,259;32,961;;0;;;;;;;2,809;;
Oct 5, 14;;6,945;106,252;33,436;;0;0;;;;;;3,105;;
Jan 11, 15;;9,221;111,350;33,873;;0;0;;;;0;;4,328;;
Dec 30, 99;;;;;;;;;;;;;;;
Jul 9, 15;;13,921;121,199;34,562;;;;;;;;;5,864;;
Dec 30, 99;;;;;;;;;;;;;;;
Oct 6, 15;;16,768;124,530;34,826;;2,043;0;;;;2,284;;6,508;0;
Dec 30, 99;;;;;;;;;;;;;;;
Apr 7, 16;;22,929;130,046;35,279;;2,947;;;;;;;8,061;;
Jul 8, 16;;25,588;132,190;35,452;;3,386;1,581;;;;6,394;;8,749;1,122;0
Sep 21, 16;;27,246;133,983;35,512;;3,597;2,107;;1,325;;7,228;;9,144;1,365;
Dec 30, 99;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
