WBM Date;1 Direction;MCR;P!atD;FOB;Twenty-One Pilots;Beatles;NSYNC;Taylor Swift;Bandom (Overall)
Dec 30, 99;;;;;;;;;
May 10, 00;;;;;;;;;
Oct 26, 00;;;;;;13;2,696;;
Apr 13, 01;;;;;;76;4,347;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Nov 23, 01;;;;;;287;7,859;;
Jan 23, 02;;;;;;448;8,861;;
Dec 30, 99;;;;;;;;;
Jun 2, 02;;;;;;763;10,893;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
ELIMINATED;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
