WBM Date;1 Direction;MCR;P!atD;FoB;Twenty One Pilots;Beatles;NSYNC;Taylor Swift;Bandom
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
06/30/23;166,000;19,100;12,600;10,300;21,800;;;;
10/01/23;165,000;19,100;12,500;10,300;21,800;;;;
Jan 1, 24;165,000;19,200;12,500;10,300;21,800;;;;
Apr 1, 24;;;;;;;;;
Jun 30, 24;128,104;13,621;9,344;7,908;16,645;;;;
Oct 1, 24;164,421;19,142;12,423;10,323;21,673;4,536;276;16,512;1,559
Jan 1, 25;165,023;19,150;12,421;10,336;21,696;4,557;278;16,873;1,560
Apr 1, 25;151,826;16,623;10,169;8,759;17,797;3,944;259;15,443;1,386
Jul 1, 25;150,428;16,402;9,875;8,597;17,318;3,902;261;15,504;1,368
Oct 3, 25;149,698;16,298;9,699;8,513;17,201;3,928;266;15,624;1,361
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
Dec 30, 99;;;;;;;;;
