WBM Date;Tolkien;GoT;Harry Potter;Warriors;PJO;Twilight;Hunger Games;Phantom of the Opera;Good Omens;MDZS;King’s Avatar;ORV
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Sep 25, 09;58;;263;;;;;;13;;;
Dec 3, 09;187;;1,357;;;;;;43;;;
Apr 10, 10;786;151;4,688;1;15;99;14;3;196;;;
Jun 13, 10;1,034;159;5,535;1;18;128;16;14;224;;;
Sep 22, 10;1,147;171;7,186;2;19;173;26;15;293;;;
Oct 25, 10;1,270;172;7,972;2;24;191;29;15;315;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Sep 24, 11;2,591;481;14,556;10;102;413;158;47;528;;;
Oct 12, 11;2,229;504;14,725;10;110;425;164;47;543;;;
Jan 20, 12;2,527;726;17,760;13;172;542;202;53;650;;;
May 7, 12;2,889;1,397;21,151;16;251;739;593;58;774;;;
May 31, 12;2,933;1,613;22,061;15;263;835;691;59;842;;;
Jun 14, 12;2,969;1,717;22,939;18;281;1,653;766;67;866;;;
Jul 30, 12;3,039;2,126;24,843;18;322;1,941;879;71;905;;;
Oct 24, 12;3,236;2,659;28,317;19;370;2,258;1,348;88;967;;;
Jan 3, 13;3,578;3,100;32,219;23;437;2,513;1,692;133;1,017;;;
Dec 30, 99;;;;;;;;;;;;
Jun 23, 13;6,662;5,003;41,270;40;716;2,947;2,639;203;1,214;;;
Oct 9, 13;7,689;6,171;45,842;74;1,048;3,230;3,007;240;1,494;;0;
Dec 30, 99;;;;;;;;;;;;
Jan 22, 14;8,836;7,108;50,604;85;1,726;3,428;3,741;283;1,599;;2;
Apr 4, 14;10,020;7,887;53,881;92;2,177;3,624;4,268;298;1,650;;2;
Jul 5, 14;11,165;10,144;58,995;119;2,999;3,946;4,759;359;1,688;;55;
Oct 4, 14;12,046;11,494;64,242;156;3,933;4,181;5,315;415;1,741;;76;
Jan 21, 15;13,515;12,666;69,555;183;5,282;4,412;5,982;510;1,815;;109;
May 13, 15;15,634;13,877;74,388;225;6,700;4,476;6,334;554;1,899;;144;
Jun 23, 15;16,223;14,490;76,429;229;7,041;4,518;6,508;569;1,927;0;165;0
Aug 13, 15;16,970;15,249;79,287;247;7,451;4,642;6,761;591;1,951;;181;0
Oct 8, 15;35,332;15,897;82,309;275;7,940;4,787;6,966;608;2,011;;194;
Jan 7, 16;34,791;16,843;87,308;289;8,806;4,924;7,646;669;2,085;0;332;0
