WBM Date;Tolkein;GoT;Harry Potter;Warriors;PJO;Twilight;Hunger Games;Phantom of the Opera;Good Omens;MDZS;King’s Avatar;ORV
Dec 30, 99;;;;;;;;;;;;
May 10, 00;;;1,905;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Jun 4, 01;120;;13,147;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Sep 10, 01;240;;18,459;;;;;;;;;
Dec 12, 01;352;;21,739;;;;;;;;;
Jan 25, 02;1,893;;25,988;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Jun 1, 02;7,878;;36,733;;;;;;;;;
Aug 10, 02;8,702;;40,629;;;;;;;;;
Oct 17, 02;10,509;;45,727;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Feb 10, 03;15,326;;60,372;;;;;;;;;
Mar 24, 03;17,724;;65,719;;;;;;;;;
Jun 2, 03;20,454;;74,953;;;;;;;;;
Apr 4, 04;31,170;;122,086;;;;;1,225;;;;
Jun 10, 04;33,289;;133,062;;;;;1,309;;;;
Dec 30, 99;;;;;;;;;;;;
Oct 12, 04;35,494;;157,155;;;;;1,457;;;;
Dec 10, 04;36,433;;166,009;;;;;1,512;;;;
Jan 5, 05;36,949;;170,756;;;;;1,663;;;;
Apr 1, 05;38,273;;183,240;0;;0;;2,746;;;;
Oct 13, 06;40,647;;268,777;1,109;2;1,057;;7,166;;;;
Jun 30, 07;42,120;;301,256;2,184;87;5,199;;7,957;;;;
Oct 11, 07;42,447;;323,719;2,768;152;8,426;;8,145;;;;
Feb 24, 09;44,090;;390,328;4,916;1,616;65,232;70;8,871;;;;
Oct 7, 09;45,032;118;425,272;6,364;3,048;110,089;378;9,131;;;;
Dec 30, 99;;;;;;;;;;;;
Mar 28, 10;45,621;167;448,847;7,368;5,225;138,579;990;9,284;;;;
Jun 12, 10;46,036;186;458,976;7,832;6,617;147,566;1,389;9,318;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;
Dec 22, 10;46,961;213;491,407;9,195;10,847;170,777;3,499;9,817;;;;
Jun 23, 11;47,844;293;523,201;10,681;16,083;183,384;6,054;9,958;;;;
Aug 12, 11;48,114;341;538,601;11,062;17,596;186,340;6,661;10,009;;;;
Dec 30, 99;;;;;;;;;;;;
Oct 18, 11;48,488;442;554,814;11,575;19,531;189,394;7,510;10,071;;;;
Jan 8, 12;48,943;591;572,123;11,861;22,498;194,614;9,229;10,127;;;;
May 5, 12;49,425;919;591,704;12,570;25,708;199,566;17,615;10,268;;;;
May 20, 12;49,494;980;593,713;12,735;26,077;199,916;18,866;10,276;;;;
Jun 8, 12;49,495;1,041;594,413;12,798;26,314;198,578;18,588;10,294;;;;
Jul 17, 12;49,605;1,223;600,092;13,112;27,807;199,372;20,935;10,346;;;;
Oct 23, 12;50,223;1,770;615,177;13,840;31,129;201,916;25,772;10,465;;;;
Jan 12, 13;51,919;2,110;626,869;14,587;34,362;206,036;28,479;10,584;1,325;;;
Apr 4, 13;54,457;2,441;637,628;15,464;37,258;208,603;30,698;10,659;1,364;;;
Dec 30, 99;;;;;;;;;;;;
Oct 9, 13;57,700;3,500;661,000;17,000;43,800;213,000;34,000;10,800;1,400;;;
Nov 28, 13;58,200;3,700;665,000;17,400;46,100;214,000;34,800;10,900;1,400;;;
Jan 22, 14;60,100;4,000;671,000;17,800;48,400;215,000;37,000;10,900;1,400;;;
Apr 7, 14;61,800;4,300;679,000;18,500;51,200;216,000;38,600;10,900;1,400;;;
Jul 3, 14;63,100;4,700;686,000;19,700;51,700;216,000;39,600;11,000;1,400;;;
Oct 4, 14;64,200;5,100;695,000;20,500;56,000;217,000;40,500;11,100;1,400;;;
Jan 16, 15;66,300;5,500;704,000;21,200;59,200;217,000;41,800;11,100;1,400;;;
May 26, 15;68,800;6,000;715,000;22,000;62,500;218,000;42,600;11,200;1,400;;;
Jun 23, 15;69,100;6,200;717,000;22,200;63,000;218,000;42,800;11,200;1,400;;;
Aug 13, 15;69,600;6,300;722,000;22,500;64,100;218,000;43,000;11,200;1,400;;;
Oct 15, 15;70,100;6,500;726,000;22,800;65,000;218,000;43,300;11,300;1,500;;;
Jan 5, 16;70,700;6,700;732,000;23,300;66,200;218,000;44,000;11,300;1,500;;;
Apr 6, 16;71,300;6,800;738,000;23,600;67,200;218,000;44,400;11,300;1,500;;;
Jul 8, 16;71,800;7,000;745,000;24,000;68,500;218,000;44,700;11,400;1,500;;;
Sep 23, 16;72,200;7,200;751,000;24,200;69,300;218,000;44,900;11,500;1,500;;;
Jan 14, 17;72,600;7,400;757,000;24,500;70,400;219,000;45,100;11,600;1,500;;;
Apr 3, 17;73,100;7,500;763,000;24,800;71,300;219,000;45,200;11,700;1,500;;;
Jul 3, 17;73,400;7,700;768,000;25,100;72,200;219,000;45,400;11,700;1,500;;;
Oct 10, 17;73,800;8,000;775,000;25,300;73,000;219,000;45,500;11,800;1,500;;;
Jan 10, 18;74,100;8,100;781,000;25,400;73,600;219,000;45,500;11,900;1,500;;;
