WBM Date;Star Wars;Avengers;Thor;Captain America;Guardians of the Galaxy;MCU
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
06/30/23;237,374;231,070;58,135;109,359;8,960;535,760
10/01/23;244,809;232,968;58,504;110,330;9,381;543,600
Jan 1, 24;253,568;235,012;59,124;111,226;9,573;553,290
Apr 1, 24;260,720;236,473;59,479;124,415;9,700;560,342
Jun 30, 24;267,303;237,828;59,640;125,256;9,812;565,983
Oct 1, 24;273,718;239,264;59,901;126,417;9,900;572,979
Jan 1, 25;279,224;240,743;60,116;127,219;9,911;583,394
Apr 1, 25;284,665;242,243;60,390;128,630;10,051;592,323
Jul 1, 25;290,688;244,071;60,641;130,369;10,185;605,102
Oct 3, 25;;;;;;
Dec 30, 99;;;;;;
