Cartoon FFN;MLP;Voltron;VLD;Daria;PPG;Invader Zim;Kim Possible;Teen Titans;Danny Phantom;AtLA;LoK;AtLA / LoK;Total Drama;Gravity Falls;SU;MLB;SVFoE;SPoP
Apr 29, 99;;;;39;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Apr 17, 01;33;32;;478;205;0;;;;;;;;;;;;
Jun 20, 01;33;40;;527;337;155;;;;;;;;;;;;
Sep 8, 01;40;54;;588;432;454;;;;;;;;;;;;
Nov 23, 01;48;57;;601;504;957;;;;;;;;;;;;
Feb 6, 02;52;76;;645;506;1,491;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Jun 1, 02;62;119;;686;629;2,141;;;;;;;;;;;;
Aug 10, 02;67;125;;708;701;2,365;;;;;;;;;;;;
Oct 17, 02;82;144;;719;815;2,510;81;;;;;;;;;;;
Dec 7, 02;85;140;;746;863;2,622;122;0;;;;;;;;;;
Feb 2, 03;92;151;;777;936;2,688;150;0;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Jun 2, 03;105;163;;828;1,067;2,838;214;0;;;;;;;;;;
Apr 4, 04;159;199;;981;1,210;3,054;632;1,390;;;;;;;;;;
Jun 10, 04;163;214;;985;1,225;3,153;773;2,138;128;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Oct 1, 04;174;214;;930;831;3,136;898;4,162;375;;;;;;;;;
Dec 10, 04;195;233;;916;824;3,165;1,010;5,762;577;;;;;;;;;
Jan 4, 05;212;235;;919;838;3,220;1,049;6,357;653;;;;;;;;;
Apr 1, 05;227;248;;924;835;3,331;1,230;8,590;867;124;0;124;;;;;;
Oct 13, 06;225;282;;958;982;4,255;3,207;18,540;4,985;5,014;0;5,014;;;;;;
Jun 30, 07;215;298;;987;1,125;4,747;4,117;20,576;6,628;9,083;0;9,083;;;;;;
Oct 11, 07;218;302;;1,013;1,222;4,940;4,547;21,038;7,258;10,358;0;10,358;;;;;;
Feb 24, 09;246;356;;1,141;1,649;5,635;6,001;22,830;8,927;19,027;0;19,027;1,742;;;;;
Oct 27, 09;248;412;;1,215;2,012;6,038;6,522;24,396;9,528;21,370;0;21,370;3,109;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Mar 26, 10;258;438;;1,271;2,338;6,289;6,784;25,608;9,884;22,557;0;22,557;3,874;;;;;
Jun 12, 10;258;447;;1,289;2,478;6,588;6,893;26,233;10,237;23,283;0;23,283;4,262;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Dec 22, 10;285;476;;1,393;2,834;7,622;7,212;27,518;11,008;27,196;0;27,196;6,377;;;;;
Jun 23, 11;730;499;;1,474;3,202;8,364;7,503;28,584;11,879;29,184;0;29,184;7,421;;;;;
Aug 12, 11;1,162;515;;1,494;3,376;8,607;7,564;28,873;12,219;29,887;0;29,887;7,657;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Oct 11, 11;1,959;548;;1,524;3,517;8,788;7,878;29,267;12,620;30,410;0;30,410;7,791;;;;;
Jan 11, 12;3,635;591;;1,536;3,782;9,110;7,811;29,863;13,070;30,907;0;30,907;7,994;;;;;
May 8, 12;6,077;670;;1,573;4,134;9,505;7,857;30,622;13,777;31,974;797;32,771;8,479;;;;;
May 23, 12;6,387;684;;1,578;4,168;9,568;7,875;30,728;13,827;32,135;1,413;33,548;8,489;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;;;;
Jan 16, 13;11,233;747;;1,653;5,043;10,128;8,206;32,833;15,083;35,012;6,632;41,644;9,103;493;;;;
Apr 4, 13;12,862;767;;1,696;5,340;10,211;8,309;33,396;15,556;35,828;7,078;42,906;9,386;655;;;;
Jun 21, 13;14,230;771;;1,772;5,613;10,319;8,434;34,113;16,024;36,344;7,382;43,726;9,593;830;0;;;
Oct 9, 13;16,100;784;;1,800;6,000;10,400;8,600;35,100;16,600;37,100;7,900;45,000;10,000;1,300;0;;;
Nov 28, 13;16,800;801;;1,900;6,100;10,400;8,600;35,400;16,800;37,200;8,200;45,400;10,300;1,600;13;;;
Jan 22, 14;17,800;817;;1,900;6,300;10,500;8,700;35,800;17,100;37,500;8,400;45,900;10,700;1,800;43;;;
Apr 7, 14;19,200;834;;1,900;6,600;10,400;8,800;36,200;17,500;37,800;8,600;46,400;11,000;2,000;112;;;
Jul 3, 14;20,500;884;;2,000;6,800;10,500;8,900;36,700;17,800;38,200;8,800;47,000;11,300;2,100;192;;;
Oct 4, 14;21,700;924;;2,000;6,900;10,500;8,900;37,100;18,100;38,600;9,700;48,300;11,800;2,600;298;;0;
Jan 28, 15;23,200;959;;2,000;7,000;10,600;9,000;37,600;18,500;39,200;11,700;50,900;12,200;3,300;453;0;9;
May 26, 15;24,500;981;;2,000;7,200;10,600;9,100;38,100;19,000;39,600;12,800;52,400;12,500;4,400;1,100;0;154;
Jun 27, 15;24,900;985;;2,000;7,200;10,700;9,200;38,200;19,000;39,700;13,000;52,700;12,500;4,600;1,400;0;198;
Aug 13, 15;25,300;1,000;;2,000;7,200;10,700;9,200;38,400;19,200;39,900;13,200;53,100;12,700;5,000;2,100;0;272;
Oct 15, 15;25,800;1,000;;2,000;7,300;10,700;9,300;38,700;19,300;40,100;13,500;53,600;12,800;5,500;2,800;65;423;
Jan 5, 16;26,400;1,000;;2,100;7,300;10,700;9,300;38,900;19,600;40,300;13,700;54,000;12,900;6,400;3,300;703;609;
Apr 6, 16;26,900;1,000;0;2,100;7,400;10,700;9,400;39,200;19,900;40,500;13,800;54,300;13,100;7,400;3,900;2,500;755;
Jul 8, 16;27,400;1,000;59;2,100;7,600;10,700;9,400;39,500;20,100;40,700;13,900;54,600;13,200;7,900;4,400;4,000;872;
Sep 23, 16;27,700;1,100;480;2,100;7,600;10,700;9,400;39,700;20,400;40,800;13,900;54,700;13,200;8,400;5,200;5,000;1000;
Jan 14, 17;28,200;1,100;843;2,200;7,700;10,800;9,500;39,900;20,600;41,000;14,100;55,100;13,300;9,000;5,800;6,400;1300;
Apr 3, 17;28,400;1,100;1,400;2,200;7,800;10,800;9,500;40,100;20,800;41,200;14,100;55,300;13,300;9,200;6,200;7,400;1500;
Jul 3, 17;28,700;1,100;2,000;2,200;7,900;10,800;9,500;40,300;20,900;41,400;14,200;55,600;13,300;9,400;6,600;8,400;1800;
Oct 10, 17;29,100;1,100;2,700;2,200;7,900;10,800;9,600;40,400;21,100;41,600;14,300;55,900;13,400;9,700;6,900;9,400;2000;
Jan 10, 18;29,400;1,100;3,300;2,200;8,000;10,800;9,600;40,600;21,300;41,800;14,400;56,200;13,500;9,900;7,100;10,900;2200;
Apr 5, 18;29,700;1,100;3,900;2,200;8,000;10,800;9,700;40,700;21,500;42,000;14,500;56,500;13,500;10,000;7,300;12,000;2300;
Jul 17, 18;29,900;1,200;4,600;2,200;8,100;10,800;9,700;40,700;21,600;42,200;14,600;56,800;13,600;10,200;7,500;13,200;2500;0
Sep 24, 18;30,100;1,200;5,200;2,200;8,100;10,900;9,800;40,800;21,700;42,400;14,600;57,000;13,600;10,300;7,700;13,800;2500;
Nov 2, 18;30,200;1,200;5,400;2,200;8,100;10,900;9,800;40,800;21,800;42,400;14,600;57,000;13,600;10,400;7,700;14,200;2600;0
Jan 4, 19;30,300;1,200;5,800;2,200;8,200;10,900;9,800;40,800;21,900;42,500;14,600;57,100;13,700;10,500;7,800;14,900;2600;84
Apr 5, 19;30,500;1,200;6,100;2,200;8,200;10,900;9,900;40,900;21,900;42,700;14,700;57,400;13,700;10,600;8,000;15,800;2700;178
Jul 1, 19;30,600;1,200;6,300;2,200;8,200;10,900;9,900;40,900;22,100;42,800;14,700;57,500;13,800;10,600;8,100;16,600;2900;263
Oct 3, 19;30,800;1,200;6,500;2,200;8,200;11,000;9,900;40,900;22,200;42,900;14,700;57,600;13,900;10,700;8,300;17,500;3000;355
