Gossamer;;;;
Month;Archived;Total;Quarterly;Methodology:
3/1995;67;67;67;Went to [http://fluky.gossamer.org/date.html] (or [https://tooms.gossamer.org/date.html] when that didn’t work) and opened each month and recorded # of “Summary” results when ctrl+f. Dec 2002 (pt 2) is  inaccessible, but according to ftp.gossamer.org, the entire archive should have 33079 fics, excluding removed (33134 with removed)
4/1995;182;249;;
5/1995;85;334;;
6/1995;101;435;368;
7/1995;102;537;;
8/1995;68;605;;
9/1995;84;689;254;
10/1995;157;846;;
11/1995;98;944;;
12/1995;179;1,123;434;
1/1996;151;1,274;;
2/1996;125;1,399;;
3/1996;134;1,533;410;
4/1996;118;1,651;;
5/1996;182;1,833;;
6/1996;217;2,050;517;
7/1996;19;2,069;;
8/1996;98;2,167;;
9/1996;357;2,524;474;
10/1996;331;2,855;;
11/1996;248;3,103;;
12/1996;218;3,321;797;
1/1997;196;3,517;;
2/1997;224;3,741;;
3/1997;319;4,060;739;
4/1997;334;4,394;;
5/1997;353;4,747;;
6/1997;309;5,056;996;
7/1997;339;5,395;;
8/1997;226;5,621;;
9/1997;426;6,047;991;
10/1997;256;6,303;;
11/1997;434;6,737;;
12/1997;185;6,922;875;
1/1998;303;7,225;;
2/1998;282;7,507;;
3/1998;588;8,095;1173;
5/1998;755;8,850;;
6/1998;168;9,018;923;
7/1998;313;9,331;;
9/1998;225;9,556;538;
10/1998;598;10,154;;
11/1998;167;10,321;;
12/1998;399;10,720;1164;
1/1999;249;10,969;;
2/1999;264;11,233;;
3/1999;218;11,451;731;
4/1999;340;11,791;;
5/1999;524;12,315;864;
7/1999;488;12,803;;
8/1999;420;13,223;;
9/1999;612;13,835;1520;
10/1999;389;14,224;;
11/1999;196;14,420;585;
1/2000;239;14,659;;
2/2000;343;15,002;;
3/2000;278;15,280;860;
4/2000;291;15,571;;
5/2000;938;16,509;;
6/2000;1008;17,517;2237;
7/2000;700;18,217;;
8/2000;1134;19,351;;
9/2000;1124;20,475;2958;
10/2000;1107;21,582;;
11/2000;635;22,217;;
12/2000;554;22,771;2296;
1/2001;240;23,011;;
2/2001;334;23,345;;
3/2001;439;23,784;1013;
4/2001;427;24,211;;
5/2001;202;24,413;;
6/2001;449;24,862;1078;
7/2001;359;25,221;;
8/2001;205;25,426;;
9/2001;149;25,575;713;
10/2001;177;25,752;;
11/2001;405;26,157;;
12/2001;156;26,313;738;
1/2002;266;26,579;;
2/2002;238;26,817;;
3/2002;218;27,035;722;
4/2002;197;27,232;;
5/2002;212;27,444;;
6/2002;439;27,883;848;
7/2002;207;28,090;;
8/2002;277;28,367;484;
10/2002;364;28,731;;
11/2002;257;28,988;;
12/2002;216;29,204;837;
1/2003;211;29,415;;
3/2003;111;29,526;322;
5/2003;232;29,758;;
7/2003;286;30,044;;
8/2003;214;30,258;;
9/2003;203;30,461;703;
10/2003;318;30,779;;
12/2003;270;31,049;588;
1/2004;153;31,202;;
3/2004;251;31,453;404;
5/2004;108;31,561;108;
7/2004;294;31,855;294;
10/2004;220;32,075;;
11/2004;99;32,174;;
12/2004;174;32,348;493;
2/2005;172;32,520;172;
5/2005;116;32,636;116;
7/2005;130;32,766;;
9/2005;113;32,879;243;
11/2005;80;32,959;80;
1/2006;168;33,127;168;
4/2006;113;33,240;;
6/2006;91;33,331;204;
9/2006;127;33,458;127;
12/2006;135;33,593;135;
4/2007;86;33,679;;
7/2007;67;33,746;;
10/2007;104;33,850;;
12/2007;79;33,929;;
3/2008;85;34,014;;
7/2008;105;34,119;;
10/2008;142;34,261;;
1/2009;101;34,362;;
3/2009;48;34,410;;
7/2009;128;34,538;;
1/2010;79;34,617;;
3/2010;48;34,665;;
7/2010;64;34,729;;
10/2010;73;34,802;;
1/2011;102;34,904;;
5/2011;61;34,965;;
1/2012;72;35,037;;
6/2012;33;35,070;;
9/2012;33;35,103;;
;;35,103;;
;;35,103;;
