WBM Date;K-Pop (Overall);BTS;EXO;Shinee;Super Junior;Red Velvet;Twice;BlackPink;NCT;Stray Kids;Seventeen;TXT;GOT7;Monsta X;Loona
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Dec 23, 09;;;;1;3;;;;;;;;;;
Apr 7, 10;0;;;1;5;;;;;;;;;;
Jun 13, 10;115;;;1;6;;;;;;;;;;
Sep 22, 10;138;;;4;8;;;;;;;;;;
Oct 25, 10;142;;;5;8;;;;;;;;;;
Dec 28, 10;166;;;9;27;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Sep 24, 11;442;;;60;121;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
Jan 14, 12;753;;0;83;277;;;;;;;;;;
Dec 30, 99;;;;;;;;;;;;;;;
May 19, 12;902;;0;103;351;;;;;;;;;;
Jun 14, 12;950;;0;110;378;;;;;;;;;;
Jul 30, 12;1,015;;0;130;388;;;;;;;;;;
Oct 24, 12;1,193;0;32;138;456;;;;;;;;;;
Jan 4, 13;1,648;0;82;147;689;;;;;;;;0;;
Dec 30, 99;;;;;;;;;;;;;;;
Jun 23, 13;2,379;0;233;201;873;;;;;;;;0;;
Oct 9, 13;2,897;8;418;263;963;;;;;;;;0;;
Nov 23, 13;3,217;13;353;304;1,014;;;;;;;;0;;
Jan 22, 14;3,544;26;670;322;1,053;0;;;;;;;0;;
Apr 4, 14;4,059;72;836;349;1,183;0;;;;;;;5;;
Jul 5, 14;6,064;143;1,174;383;1,264;0;;;;;;;10;;
Oct 4, 14;7,302;259;1,547;468;1,413;3;;;;;;;67;;
Jan 21, 15;9,013;570;2,033;533;1,559;6;0;;;;0;;163;0;
May 12, 15;11,196;1,159;2,812;680;1,769;13;0;;;;2;;318;4;
Jun 23, 15;12,521;1,641;3,096;737;1,843;19;0;;;;4;;397;5;
Aug 13, 15;14,290;2,418;3,573;816;1,866;31;0;;;;40;;428;12;
Oct 2, 15;16,619;3,283;4,189;869;1,928;52;0;;;;112;;551;30;
Jan 7, 16;21,668;5,494;5,155;1,034;1,986;101;11;0;0;;559;;869;112;0
Apr 6, 16;28,046;8,646;6,343;1,194;2,075;145;34;0;0;;979;;1,306;212;0
