Standard Approx Date;WBM;TAZ;Vocaloid;Homestuck;WBM;Hamilton;Date;Dan & Phil;Phandom;Wrestling;Rooster Teeth;Youtube RPF;WTNV;Les Mis;Date;Hermitcraft;DSMP;Hololive
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Feb 24, 09;;;;;;;;;;;;;;;;;;
Oct 15, 09;;;;;;;;;;;;;;;;;;
Dec 12, 09;12/22/09;;2;0;;;;;;16;;;;;;;;
Mar 28, 10;04/08/10;;4;0;;;;;;90;;;;;;;;
Jun 11, 10;06/13/10;;4;11;;;;;;98;;;;;;;;
Sep 22, 10;09/22/10;;5;102;;;;;;116;;;;;;;;
Oct 25, 10;10/25/10;;5;122;;;;;;117;;;;;;;;
Dec 10, 10;;;;;;;;;;;;;;;;;;
Jun 30, 11;;;;;;;;;;;;;;;;;;
Aug 13, 11;;;;;;;;;;;;;;;;;;
Sep 23, 11;09/24/11;;14;1,912;;;;;;153;;;;;;;;
Oct 25, 11;;;;;;;;;;;;;;;;;;
Jan 12, 12;01/18/12;;18;3,962;;;;0;0;182;;0;;;;;;
May 1, 12;05/01/12;;31;6,158;;;;0;0;;;0;;;;;;
May 20, 12;;;;;;;;;;;;;;;;;;
Jun 4, 12;06/02/12;;35;6,773;;;;0;0;220;;11;;;;;;
Jul 16, 12;07/04/12;;44;7,460;;;;0;0;223;;12;;;;;;
Oct 23, 12;10/24/12;;56;9,948;;;;2;0;250;;60;;;;;;
Jan 7, 13;01/16/13;;67;12,731;;;01/16/13;22;0;274;1;108;;;;;;
Apr 4, 13;04/16/13;;103;16,108;;;04/16/13;;39;320;223;267;;;;;;
Jun 25, 13;06/23/13;;135;18,365;;;06/23/13;;82;367;487;918;2;;;;;
Oct 10, 13;10/09/13;;;21,366;;;;;138;447;;1,870;1,436;7,146;;;;
Dec 1, 13;;;;;;;;;;;;;;;;;;
Jan 22, 14;01/22/14;;;23,784;;;;;213;493;2,189;3,126;2,376;;;;;
Apr 4, 14;04/04/14;;;25,267;;;;;288;565;2,987;4,131;2,810;;;;;
Jul 4, 14;07/05/14;;;27,628;;;;;406;729;4,022;5,818;3,432;;;;;
Oct 4, 14;10/04/14;;;29,595;;;;;539;1,009;5,230;14,815;4,036;;;;;
