Standard Approx Date;WBM;Homestuck;WBM;Hamilton;Vocaloid;Wrestling;Web Shows;Les Mis;WTNV;Manhua;Manhwa;Hololive
Apr 29, 99;;;;;;;;;;;;
May 10, 00;;;05/10/00;;;;;4;;;;
Oct 13, 00;;;;;;;;;;;;
Apr 13, 01;;;06/04/01;;;;;72;;;;
Jul 1, 01;;;;;;;;;;;;
Sep 10, 01;;;;;;;;;;;;
Dec 5, 01;;;12/12/01;;;;;113;;;;
Jan 23, 02;;;01/25/02;;;;;128;;;;
Apr 5, 02;;;;;;;;;;;;
Jun 2, 02;;;06/01/02;;;;;196;;;;
Aug 10, 02;;;08/10/02;;;;;212;;;;
Oct 10, 02;;;10/17/02;;;;;245;;;;
Dec 7, 02;;;;;;;;;;;;
Feb 2, 03;;;02/10/03;;;;;290;;;;
Apr 1, 03;;;03/24/03;;;;;336;;;;
Jun 3, 03;;;06/02/03;;;;;417;;;;
Apr 4, 04;;;04/04/04;;;;;766;;;;
Jun 10, 04;;;06/10/04;;;;;865;;;;
Sep 6, 04;;;;;;;;;;;;
Oct 12, 04;;;10/12/04;;;;;956;;;;
Dec 10, 04;;;12/10/04;;;;;1,015;;;;
Jan 1, 05;;;01/05/05;;;;;1,053;;;;
Apr 1, 05;;;04/01/05;;;;;1,093;;;;
Oct 15, 06;;;10/13/06;;;;;1,418;;;;
Jun 30, 07;;;06/30/07;;;;;1,472;;;;
Oct 11, 07;;;10/11/07;;;;;1,519;;;;
Feb 24, 09;;;02/24/09;;;;;1,674;;;;
Oct 15, 09;10/27/09;0;;;628;19,854;;;56;23;23;
Dec 12, 09;;;;;;;;;;;;
Mar 28, 10;03/28/10;0;;;1,100;21,476;6;;85;35;51;
Jun 11, 10;;;;;1,416;22,505;19;;104;41;69;
Sep 22, 10;;;;;;;;;;;;
Oct 25, 10;;;;;;;;;;;;
Dec 10, 10;;;;;2,572;24,836;82;;154;63;125;
Jun 30, 11;06/23/11;173;;;4,400;27,298;166;;179;114;205;
Aug 13, 11;08/12/11;332;;;4,978;27,912;203;;200;127;214;
Sep 23, 11;;;;;;;;;;;;
Oct 25, 11;10/11/11;586;;;5,658;28,333;248;;216;151;261;
Jan 12, 12;;;;;6,846;29,173;357;;247;182;298;
May 1, 12;05/05/12;2,808;;;8,330;30,090;556;;357;206;349;
May 20, 12;07/17/12;3,585;;;8,497;30,164;579;;366;209;356;
Jun 4, 12;;;;;;;;;;;;
Jul 16, 12;;;;;;;;;;;;
Oct 23, 12;;;;;;;;;;;;
Jan 7, 13;01/03/13;6,313;;;11,524;32,340;1,671;;531;297;482;
Apr 4, 13;04/04/13;7,834;;;12,633;32,978;2,455;;603;215;517;
Jun 25, 13;;;;;13,507;33,659;3,123;;640;334;559;
Oct 10, 13;10/10/13;11,200;;;14,900;34,700;4,400;;900;352;625;
Dec 1, 13;11/28/13;11,900;;;;;;;;;;
Jan 22, 14;01/22/14;12,600;;;16,000;35,400;5,300;;1,100;373;678;
Apr 4, 14;04/07/14;13,500;;;16,800;35,900;5,800;;1,200;401;708;
Jul 4, 14;07/03/14;14,200;;;17,500;36,600;6,400;;1,300;416;742;
Oct 4, 14;10/04/14;14,800;;;18,000;37,200;7,300;;1,400;434;778;
Jan 16, 15;01/16/15;15,400;;;18,600;37,800;8,400;;1,500;457;810;
May 20, 15;05/26/15;15,900;;;19,200;38,600;9,300;;1,700;475;851;
Jun 23, 15;06/23/15;16,000;;;19,300;38,800;9,500;;6;476;860;
Aug 13, 15;08/13/15;16,200;;;19,500;39,100;9,900;;17;480;878;
Oct 7, 15;10/15/15;16,300;;;19,700;39,400;10,400;;26;486;912;
Jan 6, 16;01/05/16;16,500;;;19,800;39,800;11,200;;59;493;968;
Apr 6, 16;04/06/16;16,500;;;20,100;40,100;11,900;;78;495;1,000;
Jul 6, 16;07/08/16;16,700;;;20,200;40,600;12,400;;105;505;1,100;
Sep 27, 16;09/23/16;16,800;;;20,400;41,100;12,900;;112;512;1,100;
Jan 7, 17;01/14/17;16,900;;;20,600;41,600;13,400;;124;520;1,200;
Apr 3, 17;04/03/17;16,900;;;20,700;41,700;13,700;;127;519;1,200;
Jul 4, 17;07/03/17;16,800;;;20,800;42,000;13,800;;133;528;1,300;
Oct 10, 17;10/10/17;16,900;;;20,900;42,100;14,000;;138;543;1,400;
Jan 5, 18;01/10/18;16,900;;;20,900;42,300;14,200;;139;565;1,400;
Apr 4, 18;04/05/18;16,800;;;20,900;42,500;14,300;;138;588;1,400;
Jul 17, 18;07/17/18;16,800;;;20,900;42,800;14,100;;146;624;1,500;
Sep 30, 18;09/24/18;16,800;;;20,900;43,000;14,200;;151;649;1,500;
Nov 1, 18;11/02/18;16,800;;;20,900;43,100;14,200;;153;679;1,600;
Jan 4, 19;01/03/19;16,800;;;20,800;43,300;14,300;;156;705;1,600;
Apr 1, 19;03/30/19;16,800;;;20,800;43,500;14,300;;161;736;1,700;
Jul 1, 19;07/01/19;16,700;;;20,800;43,700;14,300;;173;757;1,800;
Oct 3, 19;10/03/19;16,700;;;20,800;43,700;14,300;;174;819;1,800;
Jan 1, 20;01/01/20;16,600;;;20,800;43,800;14,200;;176;869;1,800;
