Standard Approx Date;WBM;TAZ;Vocaloid;Homestuck;WBM;Hamilton;Date;Dan & Phil;Phandom;Wrestling;Rooster Teeth;Youtube RPF;WTNV;Les Mis;Date;Hermitcraft;DSMP;Hololive
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Feb 24, 09;;;;;;;;;;;;;;;;;;
Oct 15, 09;;;;;;;;;;;;;;;;;;
Dec 12, 09;;;;;;;;;;;;;;;;;;
Mar 28, 10;;;;;;;;;;;;;;;;;;
Jun 11, 10;;;;;;;;;;;;;;;;;;
Sep 22, 10;;;;;;;;;;;;;;;;;;
Oct 25, 10;;;;;;;;;;;;;;;;;;
Dec 10, 10;;;;;;;;;;;;;;;;;;
Jun 30, 11;;;;;;;;;;;;;;;;;;
Aug 13, 11;;;;;;;;;;;;;;;;;;
Sep 23, 11;;;;;;;;;;;;;;;;;;
Oct 25, 11;;;;;;;;;;;;;;;;;;
Jan 12, 12;;;;;;;;;;;;;;;;;;
May 1, 12;;;;;;;;;;;;;;;;;;
May 20, 12;;;;;;;;;;;;;;;;;;
Jun 4, 12;;;;;;;;;;;;;;;;;;
Jul 16, 12;;;;;;;;;;;;;;;;;;
Oct 23, 12;;;;;;;;;;;;;;;;;;
Jan 7, 13;;;;;;;;;;;;;;;;;;
Apr 4, 13;;;;;;;;;;;;;;;;;;
Jun 25, 13;;;;;;;;;;;;;;;;;;
Oct 10, 13;;;;;;;;;;;;;;;;;;
Dec 1, 13;;;;;;;;;;;;;;;;;;
Jan 22, 14;;;;;;;;;;;;;;;;;;
Apr 4, 14;;;;;;;;;;;;;;;;;;
Jul 4, 14;;;;;;;;;;;;;;;;;;
Oct 4, 14;;;;;;;;;;;;;;;;;;
Jan 16, 15;;;;;;;;;;;;;;;;;;
May 20, 15;;;;;;;;;;;;;;;;;;
Jun 23, 15;;;;;;;;;;;;;;;;;;
Aug 13, 15;;;;;;;;;;;;;;;;;;
Oct 7, 15;;;;;;;;;;;;;;;;;;
Jan 6, 16;;;;;;;;;;;;;;;;;;
Apr 6, 16;;;;;;;;;;;;;;;;;;
Jul 6, 16;;;;;;;;;;;;;;;;;;
Sep 27, 16;;;;;;;;;;;;;;;;;;
Jan 7, 17;;;;;;;;;;;;;;;;;;
