WBM Date;Star Wars;Avengers;Thor;Captain America;Guardians of the Galaxy;MCU
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Jun 30, 23;33,400;81,600;29,900;33,900;2,600;108,000
Oct 1, 23;33,800;81,700;29,900;34,000;2,700;109,000
Jan 1, 24;34,200;82,000;30,000;34,000;2,700;110,000
Apr 1, 24;;;;;;
Jun 30, 24;26,471;61,841;22,550;25,113;2,183;81,114
Oct 1, 24;35,191;82,643;30,188;34,307;2,716;112,259
Jan 1, 25;35,399;82,908;30,218;34,445;2,720;113,131
Apr 1, 25;32,237;72,515;26,068;30,064;2,339;99,397
Jul 1, 25;32,566;72,549;25,991;30,185;2,338;100,056
Oct 3, 25;32,799;72,670;25,947;30,239;2,338;100,752
Dec 30, 99;;;;;;
Dec 30, 99;;;;;;
Dec 30, 99;;;;;;
Dec 30, 99;;;;;;
Dec 30, 99;;;;;;
