TV FFN;SPN;Dr. Who;Sherlock;Star Trek;Glee;OuaT;Buffy;Merlin;Stargate;Teen Wolf;TWD;X-Files;;Total;;(MCU Quarantine ?);;Agents of SHIELD;Agent Carter;Daredevil;Jessica Jones;WandaVision
Apr 29, 99;;12;;82;;;78;;1;;;303;;476;;;;;;;;
May 11, 00;;33;;512;;;686;;94;;;852;;2,177;;;;;;;;
Oct 13, 00;;44;;1,027;;;1,521;;165;;;1,375;;4,132;;;;;;;;
Apr 13, 01;;100;;1,597;;;2,843;;412;;;2,040;;6,992;;;;;;;;
Jul 11, 01;;124;;2,232;;;4,815;;591;;;2,465;;10,227;;;;;;;;
Sep 10, 01;;143;;2,595;;;6,020;;710;;;2,710;;12,178;;;;;;;;
Dec 12, 01;;149;;2,883;;;6,985;;800;;;2,876;;13,693;;;;;;;;
Jan 23, 02;;168;;3,308;;;7,943;;897;;;3,002;;15,318;;;;;;;;
Apr 5, 02;;180;;3,846;;;9,911;;1,109;;;3,351;;18,397;;;;;;;;
Jun 1, 02;;217;;4,365;;;11,352;;1,244;;;3,599;;20,777;;;;;;;;
Aug 10, 02;;233;;4,614;;;12,478;;1,387;;;3,637;;22,349;;;;;;;;
Oct 3, 02;;245;;4,888;;;13,478;;1,581;;;3,877;;24,069;;;;;;;;
Dec 11, 02;;273;;4,870;;;13,045;;1,761;;;3,586;;23,535;;;;;;;;
Feb 10, 03;;313;;5,273;;;14,248;;2,205;;;3,772;;25,811;;;;;;;;
Apr 1, 03;;331;;5,531;;;15,345;;2,479;;;3,872;;27,558;;;;;;;;
Jun 2, 03;;348;;5,900;;;16,728;;2,879;;;4,100;;29,955;;;;;;;;
;;;;;;;;;;;;;;145,867;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Sep 6, 04;;615;;8,144;;;23,625;;6,784;;;4,934;;44,102;;;;;;;;
Oct 12, 04;;610;;8,270;;;24,051;;7,049;;;4,990;;44,970;;;;;;;;
Dec 11, 04;;650;;8,488;;;24,813;;8,069;;;5,092;;47,112;;;;;;;;
Jan 1, 05;;658;;8,569;;;25,073;;8,366;;;5,123;;47,789;;;;;;;;
Apr 1, 05;;697;;8,929;;;26,093;;9,819;;;5,305;;50,843;;;;;;;;
Oct 16, 06;4,373;4,197;;10,940;;;29,919;;19,708;;;6,192;;75,329;;;;;;;;
Jun 30, 07;9,238;6,902;;11,810;;;31,181;;24,446;;;6,523;;90,100;;;;;;;;
Sep 29, 07;10,932;8,028;;12,018;;;31,560;;25,595;;;6,613;;94,746;;;;;;;;
Feb 24, 09;21,388;14,422;;14,004;;;33,895;657;33,655;;;7,636;;125,657;;;;;;;;
Oct 27, 09;29,027;17,179;;15,640;505;;37,044;1,832;36,503;;;8,137;;145,867;;;;;;;;
;;;;;3,351;;;;;;;;;383,626;;;;;;;;
Mar 27, 10;34,156;19,100;;16,626;3,458;;38,267;3,199;38,192;;;8,356;;161,354;;;;;;;;
Jun 12, 10;37,140;20,580;;17,101;6,073;;38,871;3,730;38,961;;;8,412;;170,868;;;;;;;;
;;;;;;;;;;;;;;477,569;;;;;;;;
;;;;;;;;;;;;;;494,082;;;;;;;;
