Games AO3,LoZ,Sonic,Pokemon,Final Fantasy,Kingdom Hearts,Persona,Fire Emblem,League of Legends,Dragon Age,Minecraft,Dangan Ronpa,Five Nights at Freddy’s,Undertale,Mystic Messenger,Overwatch,Genshin Impact,HI3,HSR,Honkai (Total)
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Dec 21, 09",,,,,,,,,,,,,,,,,,,
"Mar 29, 10",,,,,,,,,,,,,,,,,,,
"Jun 13, 10",,,,,,,,,,,,,,,,,,,
"Sep 22, 10",,,,,,,,,,,,,,,,,,,
"Oct 25, 10",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sep 24, 11",,,,,,,,,,,,,,,,,,,
"Oct 28, 11",,,,,,,,,,,,,,,,,,,
"Jan 28, 12",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"May 21, 12",,,,,,,,,,,,,,,,,,,
"Jun 1, 12",,,,,,,,,,,,,,,,,,,
"Jul 30, 12",,,,,,,,,,,,,,,,,,,
"Oct 23, 12",,,,,,,,,,,,,,,,,,,
"Jan 6, 13",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Jun 23, 13",,,,,,,,,,,,,,,,,,,
"Oct 9, 13",,,,,,,,,,,,,,,,,,,
"Dec 16, 13",,,,,,,,,,,,,,,,,,,
"Jan 22, 14",,,,,,,,,,,,,,,,,,,
"Apr 4, 14",,,,,,,,,,,,,,,,,,,
"Jul 5, 14",,,,,,,,,,,,,,,,,,,
"Oct 4, 14",,,,,,,,,,,,,,,,,,,
"Jan 21, 15",,,,,,,,,,,,,,,,,,,
"May 13, 15",,,,,,,,,,,,,,,,,,,
"Jun 23, 15",,,,,,,,,,,,,,,,,,,
"Aug 13, 15",,,,,,,,,,,,,,,,,,,
"Oct 9, 15",,,,,,,,,,,,,,,,,,,
"Jan 7, 16",,,,,,,,,,,,,,,,,,,
"Apr 6, 16",,,,,,,,,,,,,,,,,,,
"Jul 5, 16",,,,,,,,,,,,,,,,,,,
"Sep 27, 16",,,,,,,,,,,,,,,,,,,
"Jan 9, 17",,,,,,,,,,,,,,,,,,,
"Apr 3, 17",,,,,,,,,,,,,,,,,,,
"Jul 7, 17",,,,,,,,,,,,,,,,,,,
"Oct 10, 17",,,,,,,,,,,,,,,,,,,
"Jan 10, 18",,,,,,,,,,,,,,,,,,,
"Apr 2, 18",,,,,,,,,,,,,,,,,,,
"Jul 17, 18",,,,,,,,,,,,,,,,,,,
"Oct 10, 18",,,,,,,,,,,,,,,,,,,
"Nov 2, 18",,,,,,,,,,,,,,,,,,,
"Jan 5, 19",,,,,,,,,,,,,,,,,,,
"Apr 1, 19",,,,,,,,,,,,,,,,,,,
"Jul 1, 19",,,,,,,,,,,,,,,,,,,
"Oct 3, 19",,,,,,,,,,,,,,,,,,,
"Jan 1, 20",,,,,,,,,,,,,,,,,,,
"Apr 1, 20",,,,,,,,,,,,,,,,,,,
"Jul 1, 20",,,,,,,,,,,,,,,,,,,
"Oct 1, 20",,,,,,,,,,,,,,,,,,,
"Jan 1, 21",,,,,,,,,,,,,,,,,,,
"Apr 1, 21",,,,,,,,,,,,,,,,,,,
"Jul 1, 21",,,,,,,,,,,,,,,,,,,
"Oct 1, 21",,,,,,,,,,,,,,,,,,,
"Jan 1, 22",,,,,,,,,,,,,,,,,,,
"Apr 1, 22",,,,,,,,,,,,,,,,,,,
"Jul 1, 22",,,,,,,,,,,,,,,,,,,
"Aug 2, 22",,,,,,,,,,,,,,,,,,,
"Sep 20, 22",,,,,,,,,,,,,,,,,,,
"Oct 23, 22",,,,,,,,,,,,,,,,,,,
"Jan 1, 23",,,,,,,,,,,,,,,,"26,400",,,
"Mar 3, 23",,,,,,,,,,,,,,,,,,,
"Apr 3, 23",,,,,,,,,,,,,,,,"28,600",,,
"Jun 30, 23","4,700","19,200","45,300","2,900","4,100","3,400","3,700","4,100","1,600","51,000","45,500","65,500","63,100","5,800","8,600","30,000",850,582,
