Standard Approx Date,Month,adjust to date,# Archived,,,Methodology
"Apr 29, 99",,,,,,
"May 10, 00",,,,,,
"Oct 13, 00",,,,,,
"Apr 13, 01",,,,,,
"Jul 1, 01",,,,,,
"Sep 10, 01",,,,,,
"Dec 5, 01",,,,,,
"Jan 23, 02",,,,,,
"Apr 5, 02",,,,,,
"Jun 2, 02",,,,,,
"Aug 10, 02",,,,,,
"Oct 10, 02",,,,,,
"Dec 7, 02",,,,,,
"Feb 2, 03",,,,,,
"Apr 1, 03",,,,,,
"Jun 3, 03",,,,,,
"Apr 4, 04",,,,,,
"Jun 10, 04",,,,,,
"Sep 6, 04",,,,,,
"Oct 12, 04",,,,,,
"Dec 10, 04",,,,,,
"Jan 1, 05",,,,,,
"Apr 1, 05",,,,,,
"Oct 15, 06",,,,,,
"Jun 30, 07",,,,,,
"Oct 11, 07",,,,,,
"Feb 24, 09",,,,,,
"Oct 15, 09",,,,,,
"Dec 12, 09",,,,,,
"Mar 28, 10",,,,,,
"Jun 11, 10",,,,,,
"Sep 22, 10",,,,,,
"Oct 25, 10",,,,,,
"Dec 10, 10",,,,,,
"Jun 30, 11",0,,=C:C,,Numbers added up manually from FimFiction’s Site Statistics Page [https://www.fimfiction.net/statistics]. These numbers will include stories which have since been deleted/unlisted.,
"Aug 13, 11",154,=B:B+60,=C:C,,,
"Sep 23, 11",=B37+154+176,=B:B-30,=C:C,,,
"Oct 25, 11",=B38+389,=B:B-103,=C:C,,,
"Jan 12, 12",=B39+579+782,=B:B+358,=C:C,,,
"May 1, 12",=B40+1105+1491+1824+1871,=B:B+49,=C:C,,,
"May 20, 12",=B41+1862,=B:B-698,=C:C,,,
"Jun 4, 12",=B42,=B:B+280,=C:C,,,
"Jul 16, 12",=B43+1947+1977,=B:B-1027,=C:C,,,
"Oct 23, 12",=B44+2030+1722+1946,=B:B-503,=C:C,,,
"Jan 7, 13",=B45+1862+2043,=B:B+480,=C:C,,,
"Apr 4, 13",=B46+2023+1818+1769,=B:B+256,=C:C,,,
"Jun 25, 13",=B47+1696+1651+1642,=B:B-286,=C:C,,,
"Oct 10, 13",=B48+1951+1826+1730,=B:B+615,=C:C,,,
"Dec 1, 13",=B49+1996+1611,=B:B+59,=C:C,,,
"Jan 22, 14",=B50+2049+2136,=B:B-605,=C:C,,,
"Apr 4, 14",=B51+1842+1857,=B:B+237,=C:C,,,
"Jul 4, 14",=B52+1768+1888+1671,=B:B+201,=C:C,,,
"Oct 4, 14",=B53+1631+1655+1292,=B:B+186,=C:C,,,
"Jan 16, 15",=B54+1588+1342+1441,=B:B+703,=C:C,,,
"May 20, 15",=B55+1411+1371+1353+1351+1366,=B:B-531,=C:C,,,
"Jun 23, 15",=B56+1323,=B:B-273,=C:C,,,
"Aug 13, 15",=B57+1345,=B:B+521,=C:C,,,
"Oct 7, 15",=B58+1328+1184,=B:B+326,=C:C,,,
"Jan 6, 16",=B59+1380+1140+1255,=B:B+274,=C:C,,,
"Apr 6, 16",=B60+1242+1141+1145,=B:B+189,=C:C,,,
"Jul 6, 16",=B61+1080+1113+1060,=B:B+200,=C:C,,,
"Sep 27, 16",=B62+1100+1057+973,=B:B-123,=C:C,,,
"Jan 7, 17",=B63+1084+914+1012,=B:B+225,=C:C,,,
"Apr 3, 17",=B64+966+949+945,=B:B+105,=C:C,,,
"Jul 4, 17",=B65+841+875+917,=B:B+129,=C:C,,,
"Oct 10, 17",=B66+880+923+760,=B67+304,=C:C,,,
"Jan 5, 18",=B67+1031+869+990,=B68+169,=C:C,,,
"Apr 4, 18",=B68+892+811+843,=B69+122,=C:C,,,
"Jul 17, 18",=B69+813+833+741+760,=B70-348,=C:C,,,
"Sep 30, 18",=B70+759+718,=B71,=C:C,,,
"Nov 1, 18",=B71+808,=B72+34,=C:C,,,
"Jan 4, 19",=B72+761+772,=B73+110,=C:C,,,
