Standard Approx Date,WBM,TAZ,Vocaloid,Homestuck,WBM,Hamilton,Date,Dan & Phil,Phandom,Wrestling,Rooster Teeth,Youtube RPF,WTNV,Les Mis,Date,Hermitcraft,DSMP
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A28,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A29,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A30,12/22/09,,2,0,,,,,,16,,,,,,,
=$'Dates Ref'.A31,04/08/10,,4,0,,,,,,90,,,,,,,
=$'Dates Ref'.A32,06/13/10,,4,11,,,,,,98,,,,,,,
=$'Dates Ref'.A33,09/22/10,,5,102,,,,,,116,,,,,,,
=$'Dates Ref'.A34,10/25/10,,5,122,,,,,,117,,,,,,,
=$'Dates Ref'.A35,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A36,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A37,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A38,09/24/11,,14,"1,912",,,,,,153,,,,,,,
=$'Dates Ref'.A39,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A40,01/18/12,,18,"3,962",,,,0,0,182,,0,,,,,
=$'Dates Ref'.A41,05/01/12,,31,"6,158",,,,0,0,,,0,,,,,
=$'Dates Ref'.A42,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A43,06/02/12,,35,"6,773",,,,0,0,220,,11,,,,,
=$'Dates Ref'.A44,07/04/12,,44,"7,460",,,,0,0,223,,12,,,,,
=$'Dates Ref'.A45,10/24/12,,56,"9,948",,,,2,0,250,,60,,,,,
=$'Dates Ref'.A46,01/16/13,,67,"12,731",,,01/16/13,22,0,274,1,108,,,,,
=$'Dates Ref'.A47,04/16/13,,103,"16,108",,,04/16/13,,39,320,223,267,,,,,
=$'Dates Ref'.A48,06/23/13,,135,"18,365",,,06/23/13,,82,367,487,918,2,,,,
=$'Dates Ref'.A49,10/09/13,,,"21,366",,,,,138,447,,"1,870","1,436",7146,,,
=$'Dates Ref'.A50,,,,,,,,,,,,,,,,,
=$'Dates Ref'.A51,01/22/14,,,"23,784",,,,,213,493,"2,189","3,126","2,376",,,,
=$'Dates Ref'.A52,04/04/14,,,"25,267",,,,,288,565,"2,987","4,131","2,810",,,,
