Animanga FFN,Sailor Moon,Inuyasha,CCS,Bleach,Tennis,Naruto,Fruba,FMA,Soul Eater,Fairy Tail,Hetalia,Exorcist,Madoka,JJBA,SnK,HQ,BnHA,YoI,SxF,,Total
"Apr 29, 99",7,,0,,0,,,,,,,,,,,,,,,,=SUM(B2:S2)
"May 10, 00",727,,0,,0,,,,,,,,,,,,,,,,=SUM(B3:S3)
"Oct 29, 00","3,000",,534,,0,,,,,,,,,,,,,,,,=SUM(B4:S4)
"Apr 11, 01","3,469",,"1,298",,0,,,,,,,,,,,,,,,,=SUM(B5:S5)
"Jul 3, 01","5,378",,"2,168",,0,,,,,,,,,,,,,,,,=SUM(B6:S6)
"Sep 8, 01","6,578",,"3,075",,0,,,,,,,,,,,,,,,,=SUM(B7:S7)
"Dec 12, 01","7,916",,"4,277",,0,,12,0,,,,,,,,,,,,,=SUM(B8:S8)
"Jan 25, 02","8,741",,"5,235",,0,0,39,0,,,,,,,,,,,,,=SUM(B9:S9)
"Apr 5, 02","10,120",,"6,342",,0,5,77,,,,,,,,,,,,,,=SUM(B10:S10)
"Jun 2, 02","10,965",,"7,124",,0,17,126,0,0,,,,,,,,,,,,=SUM(B11:S11)
,,,,,,,,,,,,,,,,,,,,,=SUM(B23:R23)
,,,,,,,,,,,,,,,,,,,,,=SUM(B24:R24)
"Dec 7, 02","12,981",,"9,122",,0,52,295,,,,,,,,,,,,,,=SUM(B14:S14)
,,,,,,,,,,,,,,,,,,,,,=SUM(B26:R26)
,,,,,,,,,,,,,,,,,,,,,=SUM(B28:R28)
"Jun 3, 03","14,984",,"11,160",,90,245,781,0,0,,,,,,,,,,,,=SUM(B17:S17)
"Apr 4, 04","17,586",,"14,079",,748,"2,847","1,834",78,0,,,,,,,,,,,,=SUM(B18:S18)
"Jun 10, 04","18,051",,"14,652",,"1,010","4,030","2,218",179,0,,,,,,,,,,,,=SUM(B19:S19)
,,,,,,,,,,,,,,,,,,,,,=SUM(B35:R35)
"Oct 12, 04","18,631",,"15,428",,"1,350","6,479","2,964",454,0,,,,,,,,,,,,=SUM(B21:S21)
"Dec 11, 04","18,891",,"15,859",,"1,638","7,777","3,372",704,0,,,,,,,,,,,,=SUM(B22:S22)
"Jan 1, 05","18,987",,"15,981",,"1,789","8,344","3,560",829,0,,,,,,,,,,,,=SUM(B23:S23)
"Apr 1, 05","19,541",,"15,533",,"2,212","10,769","4,435","1,702",0,,,,,,,,,,,,=SUM(B24:S24)
"Oct 13, 06","22,728",,"18,873",,"5,143","48,520","10,514","13,930",0,,,,,,,,,,,,=SUM(B25:S25)
"Jun 30, 07","24,435",,"20,105",,"7,488","84,824","12,311","18,476",0,,,,,,,,,,,,=SUM(B26:S26)
"Oct 11, 07","25,175",,"20,490",,"8,938","102,305","12,889","20,001",0,,,,,,,,,,,,=SUM(B27:S27)
